fold=01 test_subject=001 mae=9.775074 rmse=12.572305 train_time_s=87.723 inference_time_s=0.029109
fold=02 test_subject=002 mae=13.529855 rmse=18.438471 train_time_s=108.797 inference_time_s=0.390583
fold=03 test_subject=003 mae=10.854371 rmse=16.329285 train_time_s=103.594 inference_time_s=0.027476
fold=04 test_subject=004 mae=10.927197 rmse=15.545524 train_time_s=69.331 inference_time_s=0.020901
fold=05 test_subject=005 mae=9.639651 rmse=13.002072 train_time_s=106.670 inference_time_s=0.042527
fold=06 test_subject=006 mae=12.374083 rmse=18.898235 train_time_s=142.635 inference_time_s=0.038913
fold=07 test_subject=007 mae=10.842626 rmse=15.019571 train_time_s=107.871 inference_time_s=0.093025
fold=08 test_subject=008 mae=9.521001 rmse=13.422042 train_time_s=66.344 inference_time_s=0.034585
fold=09 test_subject=009 mae=17.126118 rmse=56.757748 train_time_s=90.879 inference_time_s=0.045179
fold=10 test_subject=010 mae=14.898426 rmse=23.587158 train_time_s=51.125 inference_time_s=0.032326
fold=11 test_subject=011 mae=11.635969 rmse=16.365509 train_time_s=94.435 inference_time_s=0.150357
fold=12 test_subject=012 mae=11.313456 rmse=16.121243 train_time_s=65.164 inference_time_s=0.030975
fold=13 test_subject=013 mae=14.577886 rmse=21.055595 train_time_s=100.203 inference_time_s=0.048340
fold=14 test_subject=014 mae=13.989722 rmse=20.531519 train_time_s=40.170 inference_time_s=0.038159
fold=15 test_subject=015 mae=13.245522 rmse=19.155985 train_time_s=81.849 inference_time_s=0.008601
fold=16 test_subject=016 mae=11.410629 rmse=15.566280 train_time_s=118.637 inference_time_s=0.038795
