step,fold1/train_loss,fold1/val_mae,fold1/val_rmse,fold1/val_mard,fold1/val_mape,fold1/val_r2,fold1/val_pearson,fold1/val_ega_zone_a_pct,fold1/val_ega_zone_a_count,fold1/val_ega_zone_b_pct,fold1/val_ega_zone_b_count,fold1/val_ega_zone_c_pct,fold1/val_ega_zone_c_count,fold1/val_ega_zone_d_pct,fold1/val_ega_zone_d_count,fold1/val_ega_zone_e_pct,fold1/val_ega_zone_e_count,fold1/val_horizon_15_mae,fold1/val_horizon_15_rmse,fold1/val_horizon_15_mard,fold1/val_horizon_15_mape,fold1/val_horizon_15_r2,fold1/val_horizon_15_pearson,fold1/val_horizon_15_ega_zone_a_pct,fold1/val_horizon_15_ega_zone_a_count,fold1/val_horizon_15_ega_zone_b_pct,fold1/val_horizon_15_ega_zone_b_count,fold1/val_horizon_15_ega_zone_c_pct,fold1/val_horizon_15_ega_zone_c_count,fold1/val_horizon_15_ega_zone_d_pct,fold1/val_horizon_15_ega_zone_d_count,fold1/val_horizon_15_ega_zone_e_pct,fold1/val_horizon_15_ega_zone_e_count,fold1/val_horizon_30_mae,fold1/val_horizon_30_rmse,fold1/val_horizon_30_mard,fold1/val_horizon_30_mape,fold1/val_horizon_30_r2,fold1/val_horizon_30_pearson,fold1/val_horizon_30_ega_zone_a_pct,fold1/val_horizon_30_ega_zone_a_count,fold1/val_horizon_30_ega_zone_b_pct,fold1/val_horizon_30_ega_zone_b_count,fold1/val_horizon_30_ega_zone_c_pct,fold1/val_horizon_30_ega_zone_c_count,fold1/val_horizon_30_ega_zone_d_pct,fold1/val_horizon_30_ega_zone_d_count,fold1/val_horizon_30_ega_zone_e_pct,fold1/val_horizon_30_ega_zone_e_count,fold1/val_horizon_45_mae,fold1/val_horizon_45_rmse,fold1/val_horizon_45_mard,fold1/val_horizon_45_mape,fold1/val_horizon_45_r2,fold1/val_horizon_45_pearson,fold1/val_horizon_45_ega_zone_a_pct,fold1/val_horizon_45_ega_zone_a_count,fold1/val_horizon_45_ega_zone_b_pct,fold1/val_horizon_45_ega_zone_b_count,fold1/val_horizon_45_ega_zone_c_pct,fold1/val_horizon_45_ega_zone_c_count,fold1/val_horizon_45_ega_zone_d_pct,fold1/val_horizon_45_ega_zone_d_count,fold1/val_horizon_45_ega_zone_e_pct,fold1/val_horizon_45_ega_zone_e_count,fold1/val_horizon_60_mae,fold1/val_horizon_60_rmse,fold1/val_horizon_60_mard,fold1/val_horizon_60_mape,fold1/val_horizon_60_r2,fold1/val_horizon_60_pearson,fold1/val_horizon_60_ega_zone_a_pct,fold1/val_horizon_60_ega_zone_a_count,fold1/val_horizon_60_ega_zone_b_pct,fold1/val_horizon_60_ega_zone_b_count,fold1/val_horizon_60_ega_zone_c_pct,fold1/val_horizon_60_ega_zone_c_count,fold1/val_horizon_60_ega_zone_d_pct,fold1/val_horizon_60_ega_zone_d_count,fold1/val_horizon_60_ega_zone_e_pct,fold1/val_horizon_60_ega_zone_e_count,fold1/diag_horizon_curriculum_progress,fold1/diag_loss_horizon_weight_0,fold1/diag_loss_horizon_weight_1,fold1/diag_loss_horizon_weight_2,fold1/diag_loss_horizon_weight_3
1,0.2937723872934294,14.965180397033691,21.382835388183594,10.860649108886719,10.860649108886719,0.11752068996429443,0.5968526005744934,85.01890563964844,17990.0,14.981097221374512,3170.0,0.0,0.0,0.0,0.0,0.0,0.0,11.852095603942871,16.751083374023438,8.67550277709961,8.67550277709961,0.4583047032356262,0.8288877010345459,91.6257095336914,4847.0,8.374290466308594,443.0,0.0,0.0,0.0,0.0,0.0,0.0,14.768182754516602,21.061174392700195,10.716124534606934,10.716124534606934,0.1437090039253235,0.6217476725578308,85.55765533447266,4526.0,14.442343711853027,764.0,0.0,0.0,0.0,0.0,0.0,0.0,16.349666595458984,23.16034698486328,11.819136619567871,11.819136619567871,-0.03519737720489502,0.4820369482040405,82.06049346923828,4341.0,17.93950843811035,949.0,0.0,0.0,0.0,0.0,0.0,0.0,16.890771865844727,23.839651107788086,12.231832504272461,12.231832504272461,-0.09657323360443115,0.4083442986011505,80.83175659179688,4276.0,19.168241500854492,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.28333333134651184,0.21666665375232697,0.1666666716337204
2,0.22781017352144223,12.296366691589355,18.563844680786133,9.078102111816406,9.078102111816406,0.3348650336265564,0.6490301489830017,89.01229095458984,18835.0,10.987712860107422,2325.0,0.0,0.0,0.0,0.0,0.0,0.0,7.483370780944824,10.796550750732422,5.689250469207764,5.689250469207764,0.7749705910682678,0.8990399837493896,97.6181411743164,5164.0,2.381852626800537,126.0,0.0,0.0,0.0,0.0,0.0,0.0,11.861673355102539,17.578075408935547,8.827432632446289,8.827432632446289,0.40351587533950806,0.6874282956123352,89.77315521240234,4749.0,10.226842880249023,541.0,0.0,0.0,0.0,0.0,0.0,0.0,14.313573837280273,21.037511825561523,10.493609428405762,10.493609428405762,0.14587432146072388,0.519035816192627,85.59546661376953,4528.0,14.404537200927734,762.0,0.0,0.0,0.0,0.0,0.0,0.0,15.526851654052734,22.590572357177734,11.302116394042969,11.302116394042969,0.015326321125030518,0.4240952432155609,83.0623779296875,4394.0,16.937618255615234,896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.3245614171028137,0.2788847088813782,0.21998745203018188,0.17656642198562622
3,0.21732640816954704,11.762762069702148,17.913583755493164,8.752274513244629,8.752274513244629,0.3806459903717041,0.6691951751708984,89.65972900390625,18972.0,10.340264320373535,2188.0,0.0,0.0,0.0,0.0,0.0,0.0,6.589991569519043,9.439656257629395,5.077075004577637,5.077075004577637,0.8279789686203003,0.9194144010543823,98.43099975585938,5207.0,1.5689979791641235,83.0,0.0,0.0,0.0,0.0,0.0,0.0,11.256477355957031,16.683687210083008,8.452561378479004,8.452561378479004,0.4626709222793579,0.716903805732727,90.94517517089844,4811.0,9.05482006072998,479.0,0.0,0.0,0.0,0.0,0.0,0.0,13.955852508544922,20.54339027404785,10.307601928710938,10.307601928710938,0.18552589416503906,0.536293089389801,86.01134490966797,4550.0,13.988656997680664,740.0,0.0,0.0,0.0,0.0,0.0,0.0,15.24872875213623,22.228416442871094,11.171858787536621,11.171858787536621,0.046644389629364014,0.43182188272476196,83.25141906738281,4404.0,16.748580932617188,886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.31578949093818665,0.2744360864162445,0.223308265209198,0.18646617233753204
4,0.21177523086542938,11.561406135559082,17.615224838256836,8.652945518493652,8.652945518493652,0.4011054039001465,0.6766024231910706,89.79206085205078,19000.0,10.207939147949219,2160.0,0.0,0.0,0.0,0.0,0.0,0.0,6.280857086181641,8.908244132995605,4.872246265411377,4.872246265411377,0.8468018770217896,0.9270796179771423,98.58222961425781,5215.0,1.417769432067871,75.0,0.0,0.0,0.0,0.0,0.0,0.0,11.000419616699219,16.25179100036621,8.31255054473877,8.31255054473877,0.49013084173202515,0.7285605072975159,91.32324981689453,4831.0,8.676748275756836,459.0,0.0,0.0,0.0,0.0,0.0,0.0,13.781371116638184,20.247394561767578,10.249425888061523,10.249425888061523,0.20882725715637207,0.5431585907936096,86.04914855957031,4552.0,13.950850486755371,738.0,0.0,0.0,0.0,0.0,0.0,0.0,15.182976722717285,22.085065841674805,11.177558898925781,11.177558898925781,0.05890125036239624,0.43292802572250366,83.21360778808594,4402.0,16.786388397216797,888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.30701756477355957,0.26998746395111084,0.22662906348705292,0.19636592268943787
5,0.20696030070142776,11.700212478637695,17.72601890563965,8.76109504699707,8.76109504699707,0.39354801177978516,0.6756688952445984,89.66445922851562,18973.0,10.335538864135742,2187.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2253546714782715,8.768406867980957,4.849337577819824,4.849337577819824,0.8515737652778625,0.9288439750671387,98.6389389038086,5218.0,1.3610585927963257,72.0,0.0,0.0,0.0,0.0,0.0,0.0,11.116874694824219,16.29732322692871,8.406634330749512,8.406634330749512,0.48726993799209595,0.7300074696540833,91.20983123779297,4825.0,8.790170669555664,465.0,0.0,0.0,0.0,0.0,0.0,0.0,13.986307144165039,20.409442901611328,10.395182609558105,10.395182609558105,0.19611239433288574,0.5417641997337341,85.93572998046875,4546.0,14.064271926879883,744.0,0.0,0.0,0.0,0.0,0.0,0.0,15.472311973571777,22.311748504638672,11.393224716186523,11.393224716186523,0.03948301076889038,0.4270556569099426,82.87334442138672,4384.0,17.12665367126465,906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2982456088066101,0.2655388414859772,0.22994986176490784,0.2062656730413437
6,0.20144380406879822,11.750276565551758,17.793668746948242,8.795727729797363,8.795727729797363,0.38891029357910156,0.6735994219779968,89.5557632446289,18950.0,10.444233894348145,2210.0,0.0,0.0,0.0,0.0,0.0,0.0,6.088683128356934,8.602770805358887,4.734167098999023,4.734167098999023,0.857128381729126,0.9319896697998047,98.71455383300781,5222.0,1.2854442596435547,68.0,0.0,0.0,0.0,0.0,0.0,0.0,11.12123966217041,16.287822723388672,8.408408164978027,8.408408164978027,0.487867534160614,0.7306491732597351,91.19092559814453,4824.0,8.809074401855469,466.0,0.0,0.0,0.0,0.0,0.0,0.0,14.08111572265625,20.47700309753418,10.472013473510742,10.472013473510742,0.1907815933227539,0.5381545424461365,85.8412094116211,4541.0,14.15878963470459,749.0,0.0,0.0,0.0,0.0,0.0,0.0,15.710065841674805,22.53553009033203,11.568320274353027,11.568320274353027,0.0201188325881958,0.41633424162864685,82.47637176513672,4363.0,17.523630142211914,927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.28947368264198303,0.2610902190208435,0.23327067494392395,0.2161654233932495
7,0.19646730728243894,11.973921775817871,18.019817352294922,8.969985961914062,8.969985961914062,0.37327831983566284,0.6661262512207031,89.26748657226562,18889.0,10.732514381408691,2271.0,0.0,0.0,0.0,0.0,0.0,0.0,6.101959705352783,8.60206127166748,4.740686416625977,4.740686416625977,0.857151985168457,0.9326045513153076,98.79016876220703,5226.0,1.2098298072814941,64.0,0.0,0.0,0.0,0.0,0.0,0.0,11.292896270751953,16.437654495239258,8.542193412780762,8.542193412780762,0.47840189933776855,0.7266514301300049,90.9640884399414,4812.0,9.035916328430176,478.0,0.0,0.0,0.0,0.0,0.0,0.0,14.427994728088379,20.775978088378906,10.739252090454102,10.739252090454102,0.1669788956642151,0.5256667733192444,85.31190490722656,4513.0,14.688091278076172,777.0,0.0,0.0,0.0,0.0,0.0,0.0,16.07283592224121,22.869674682617188,11.85781192779541,11.85781192779541,-0.009154915809631348,0.39808666706085205,82.00377655029297,4338.0,17.996219635009766,952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.28070175647735596,0.25664159655570984,0.23659147322177887,0.22606515884399414
8,0.19028713421356114,12.289201736450195,18.340068817138672,9.212660789489746,9.212660789489746,0.3508039116859436,0.6525311470031738,88.8705062866211,18805.0,11.12948989868164,2355.0,0.0,0.0,0.0,0.0,0.0,0.0,6.271029472351074,8.80271053314209,4.858435153961182,4.858435153961182,0.8504101634025574,0.9300926327705383,98.75236511230469,5224.0,1.2476370334625244,66.0,0.0,0.0,0.0,0.0,0.0,0.0,11.641024589538574,16.772672653198242,8.808356285095215,8.808356285095215,0.4569237232208252,0.7147675156593323,90.62381744384766,4794.0,9.376181602478027,496.0,0.0,0.0,0.0,0.0,0.0,0.0,14.813002586364746,21.149486541748047,11.039185523986816,11.039185523986816,0.13675785064697266,0.5055521130561829,84.66918182373047,4479.0,15.330812454223633,811.0,0.0,0.0,0.0,0.0,0.0,0.0,16.431753158569336,23.223295211791992,12.144668579101562,12.144668579101562,-0.0406041145324707,0.3715701699256897,81.43667602539062,4308.0,18.56332778930664,982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2719298303127289,0.25219297409057617,0.2399122714996338,0.23596492409706116
9,0.1824737777196286,12.530942916870117,18.609352111816406,9.38553524017334,9.38553524017334,0.3315998911857605,0.6417871117591858,88.65311431884766,18759.0,11.346880912780762,2401.0,0.0,0.0,0.0,0.0,0.0,0.0,6.41046142578125,8.993059158325195,4.9445061683654785,4.9445061683654785,0.8438707590103149,0.9283897280693054,98.67675018310547,5220.0,1.323251485824585,70.0,0.0,0.0,0.0,0.0,0.0,0.0,11.883746147155762,17.05047035217285,8.975555419921875,8.975555419921875,0.4387853741645813,0.7052679657936096,90.49149322509766,4787.0,9.508506774902344,503.0,0.0,0.0,0.0,0.0,0.0,0.0,15.082930564880371,21.442420959472656,11.239975929260254,11.239975929260254,0.11267924308776855,0.48811474442481995,84.34782409667969,4462.0,15.65217399597168,828.0,0.0,0.0,0.0,0.0,0.0,0.0,16.74663734436035,23.534250259399414,12.382102966308594,12.382102966308594,-0.06865763664245605,0.35043489933013916,81.0964126586914,4290.0,18.903593063354492,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.2631579041481018,0.2477443516254425,0.2432330846786499,0.24586467444896698
10,0.17377054818361523,12.588982582092285,18.71341323852539,9.448683738708496,9.448683738708496,0.32410383224487305,0.6334692239761353,88.58222961425781,18744.0,11.417769432067871,2416.0,0.0,0.0,0.0,0.0,0.0,0.0,6.338863849639893,8.947001457214355,4.897361755371094,4.897361755371094,0.8454659581184387,0.927585780620575,98.6956558227539,5221.0,1.3043477535247803,69.0,0.0,0.0,0.0,0.0,0.0,0.0,11.948029518127441,17.13842010498047,9.04446792602539,9.04446792602539,0.43298065662384033,0.6985353827476501,90.30245208740234,4777.0,9.697542190551758,513.0,0.0,0.0,0.0,0.0,0.0,0.0,15.181965827941895,21.577157974243164,11.335952758789062,11.335952758789062,0.1014930009841919,0.4762100577354431,84.31002044677734,4460.0,15.689981460571289,830.0,0.0,0.0,0.0,0.0,0.0,0.0,16.887069702148438,23.694286346435547,12.51695442199707,12.51695442199707,-0.08324110507965088,0.3362363278865814,81.02079772949219,4286.0,18.979206085205078,1004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,0.25438597798347473,0.24329572916030884,0.24655388295650482,0.2557644248008728
