step,fold1/train_loss,fold1/val_mae,fold1/val_rmse,fold1/val_mard,fold1/val_mape,fold1/val_r2,fold1/val_pearson,fold1/val_ega_zone_a_pct,fold1/val_ega_zone_a_count,fold1/val_ega_zone_b_pct,fold1/val_ega_zone_b_count,fold1/val_ega_zone_c_pct,fold1/val_ega_zone_c_count,fold1/val_ega_zone_d_pct,fold1/val_ega_zone_d_count,fold1/val_ega_zone_e_pct,fold1/val_ega_zone_e_count,fold1/val_horizon_15_mae,fold1/val_horizon_15_rmse,fold1/val_horizon_15_mard,fold1/val_horizon_15_mape,fold1/val_horizon_15_r2,fold1/val_horizon_15_pearson,fold1/val_horizon_15_ega_zone_a_pct,fold1/val_horizon_15_ega_zone_a_count,fold1/val_horizon_15_ega_zone_b_pct,fold1/val_horizon_15_ega_zone_b_count,fold1/val_horizon_15_ega_zone_c_pct,fold1/val_horizon_15_ega_zone_c_count,fold1/val_horizon_15_ega_zone_d_pct,fold1/val_horizon_15_ega_zone_d_count,fold1/val_horizon_15_ega_zone_e_pct,fold1/val_horizon_15_ega_zone_e_count,fold1/val_horizon_30_mae,fold1/val_horizon_30_rmse,fold1/val_horizon_30_mard,fold1/val_horizon_30_mape,fold1/val_horizon_30_r2,fold1/val_horizon_30_pearson,fold1/val_horizon_30_ega_zone_a_pct,fold1/val_horizon_30_ega_zone_a_count,fold1/val_horizon_30_ega_zone_b_pct,fold1/val_horizon_30_ega_zone_b_count,fold1/val_horizon_30_ega_zone_c_pct,fold1/val_horizon_30_ega_zone_c_count,fold1/val_horizon_30_ega_zone_d_pct,fold1/val_horizon_30_ega_zone_d_count,fold1/val_horizon_30_ega_zone_e_pct,fold1/val_horizon_30_ega_zone_e_count,fold1/val_horizon_45_mae,fold1/val_horizon_45_rmse,fold1/val_horizon_45_mard,fold1/val_horizon_45_mape,fold1/val_horizon_45_r2,fold1/val_horizon_45_pearson,fold1/val_horizon_45_ega_zone_a_pct,fold1/val_horizon_45_ega_zone_a_count,fold1/val_horizon_45_ega_zone_b_pct,fold1/val_horizon_45_ega_zone_b_count,fold1/val_horizon_45_ega_zone_c_pct,fold1/val_horizon_45_ega_zone_c_count,fold1/val_horizon_45_ega_zone_d_pct,fold1/val_horizon_45_ega_zone_d_count,fold1/val_horizon_45_ega_zone_e_pct,fold1/val_horizon_45_ega_zone_e_count,fold1/val_horizon_60_mae,fold1/val_horizon_60_rmse,fold1/val_horizon_60_mard,fold1/val_horizon_60_mape,fold1/val_horizon_60_r2,fold1/val_horizon_60_pearson,fold1/val_horizon_60_ega_zone_a_pct,fold1/val_horizon_60_ega_zone_a_count,fold1/val_horizon_60_ega_zone_b_pct,fold1/val_horizon_60_ega_zone_b_count,fold1/val_horizon_60_ega_zone_c_pct,fold1/val_horizon_60_ega_zone_c_count,fold1/val_horizon_60_ega_zone_d_pct,fold1/val_horizon_60_ega_zone_d_count,fold1/val_horizon_60_ega_zone_e_pct,fold1/val_horizon_60_ega_zone_e_count,fold1/diag_graph_prior_weight,fold1/diag_graph_residual_mean,fold1/diag_fusion_gate_cgm,fold1/diag_fusion_gate_cgm_guided,fold1/diag_fusion_gate_physio,fold1/diag_horizon_query_similarity,fold1/diag_horizon_progressive_gate,fold1/diag_horizon_attention_similarity,fold1/diag_horizon_attention_entropy,fold1/diag_horizon_curriculum_progress,fold1/diag_loss_horizon_weight_0,fold1/diag_loss_horizon_weight_1,fold1/diag_loss_horizon_weight_2,fold1/diag_loss_horizon_weight_3
1,0.24931457445486213,12.551793098449707,19.425479888916016,9.55676555633545,9.55676555633545,0.2716880440711975,0.6144503355026245,87.03685760498047,18417.0,12.963138580322266,2743.0,0.0,0.0,0.0,0.0,0.0,0.0,7.195549488067627,10.85441780090332,5.5286335945129395,5.5286335945129395,0.7725518941879272,0.8842757940292358,97.16446685791016,5140.0,2.835538864135742,150.0,0.0,0.0,0.0,0.0,0.0,0.0,11.872233390808105,18.023462295532227,9.05395221710205,9.05395221710205,0.372905969619751,0.6700364351272583,88.01512145996094,4656.0,11.984877586364746,634.0,0.0,0.0,0.0,0.0,0.0,0.0,14.772083282470703,22.05995750427246,11.211872100830078,11.211872100830078,0.06083410978317261,0.4984862506389618,82.75992584228516,4378.0,17.240076065063477,912.0,0.0,0.0,0.0,0.0,0.0,0.0,16.367300033569336,24.08509063720703,12.43260383605957,12.43260383605957,-0.11926889419555664,0.39063647389411926,80.20793914794922,4243.0,19.79206085205078,1047.0,0.0,0.0,0.0,0.0,0.0,0.0,1.002418041229248,0.011761867441236973,0.3613515794277191,0.3157888948917389,0.32285958528518677,0.02163691259920597,0.11920291930437088,0.9999540448188782,0.9999905824661255,0.0,0.3333333432674408,0.28333333134651184,0.21666665375232697,0.1666666716337204
2,0.2451150849316913,12.42128849029541,19.075965881347656,9.45739459991455,9.45739459991455,0.29766058921813965,0.6164827942848206,87.8638916015625,18592.0,12.136106491088867,2568.0,0.0,0.0,0.0,0.0,0.0,0.0,7.125393390655518,10.736730575561523,5.48571252822876,5.48571252822876,0.7774572968482971,0.8853469491004944,97.14555358886719,5139.0,2.8544423580169678,151.0,0.0,0.0,0.0,0.0,0.0,0.0,11.790767669677734,17.755748748779297,8.988541603088379,8.988541603088379,0.39139682054519653,0.670653223991394,89.03591918945312,4710.0,10.964082717895508,580.0,0.0,0.0,0.0,0.0,0.0,0.0,14.605619430541992,21.612773895263672,11.085521697998047,11.085521697998047,0.09852427244186401,0.497236043214798,83.93194580078125,4440.0,16.06805419921875,850.0,0.0,0.0,0.0,0.0,0.0,0.0,16.163372039794922,23.620201110839844,12.269803047180176,12.269803047180176,-0.0764777660369873,0.38550227880477905,81.34215545654297,4303.0,18.65784454345703,987.0,0.0,0.0,0.0,0.0,0.0,0.0,1.004167914390564,0.011349155567586422,0.30747100710868835,0.3314782381057739,0.3610508441925049,0.024109549820423126,0.11920291930437088,0.9994258880615234,0.9996304512023926,0.07142857142857142,0.3245614171028137,0.2788847088813782,0.21998745203018188,0.17656642198562622
3,0.24485624699898934,12.260176658630371,18.89308738708496,9.321858406066895,9.321858406066895,0.31106245517730713,0.6214199066162109,87.88752746582031,18597.0,12.112476348876953,2563.0,0.0,0.0,0.0,0.0,0.0,0.0,7.028782367706299,10.651581764221191,5.412641525268555,5.412641525268555,0.7809730768203735,0.8867353796958923,97.10774993896484,5137.0,2.892249345779419,153.0,0.0,0.0,0.0,0.0,0.0,0.0,11.634538650512695,17.589014053344727,8.862174987792969,8.862174987792969,0.4027732014656067,0.6746484041213989,89.18714904785156,4718.0,10.812854766845703,572.0,0.0,0.0,0.0,0.0,0.0,0.0,14.366135597229004,21.35796546936035,10.890484809875488,10.890484809875488,0.1196553111076355,0.5039328336715698,84.00756072998047,4444.0,15.992439270019531,846.0,0.0,0.0,0.0,0.0,0.0,0.0,16.011255264282227,23.42654037475586,12.122135162353516,12.122135162353516,-0.058898091316223145,0.3911036550998688,81.24764251708984,4298.0,18.752363204956055,992.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0051414966583252,0.011018241755664349,0.3064873516559601,0.31717899441719055,0.37633368372917175,0.03483282029628754,0.11920291930437088,0.9986822605133057,0.9985557198524475,0.14285714285714285,0.31578949093818665,0.2744360864162445,0.223308265209198,0.18646617233753204
4,0.24401086699159774,12.216975212097168,18.743804931640625,9.276895523071289,9.276895523071289,0.3219066262245178,0.6240480542182922,88.13327026367188,18649.0,11.866729736328125,2511.0,0.0,0.0,0.0,0.0,0.0,0.0,7.027876377105713,10.625409126281738,5.408792495727539,5.408792495727539,0.7820481657981873,0.8875152468681335,97.14555358886719,5139.0,2.8544423580169678,151.0,0.0,0.0,0.0,0.0,0.0,0.0,11.611383438110352,17.480445861816406,8.837568283081055,8.837568283081055,0.4101232886314392,0.6758674383163452,89.31947326660156,4725.0,10.680529594421387,565.0,0.0,0.0,0.0,0.0,0.0,0.0,14.319352149963379,21.195178985595703,10.836067199707031,10.836067199707031,0.13302373886108398,0.5049786567687988,84.31002044677734,4460.0,15.689981460571289,830.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909287452697754,23.186635971069336,12.025151252746582,12.025151252746582,-0.03732132911682129,0.3920021057128906,81.7580337524414,4325.0,18.241966247558594,965.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0071454048156738,0.010840860195457935,0.2390723079442978,0.3243314325809479,0.4365963041782379,0.041201137006282806,0.11920291930437088,0.9976746439933777,0.9971225261688232,0.21428571428571427,0.30701756477355957,0.26998746395111084,0.22662906348705292,0.19636592268943787
5,0.24156216447965095,12.219228744506836,18.684120178222656,9.270524978637695,9.270524978637695,0.32621824741363525,0.625108003616333,88.10491943359375,18643.0,11.895085334777832,2517.0,0.0,0.0,0.0,0.0,0.0,0.0,7.017096042633057,10.593928337097168,5.3985514640808105,5.3985514640808105,0.7833377122879028,0.8886573910713196,97.2022705078125,5142.0,2.797731637954712,148.0,0.0,0.0,0.0,0.0,0.0,0.0,11.605424880981445,17.42964744567871,8.833720207214355,8.833720207214355,0.413546621799469,0.676288366317749,89.4896011352539,4734.0,10.510396957397461,556.0,0.0,0.0,0.0,0.0,0.0,0.0,14.337120056152344,21.134340286254883,10.842384338378906,10.842384338378906,0.13799375295639038,0.5037620067596436,84.08317565917969,4448.0,15.916824340820312,842.0,0.0,0.0,0.0,0.0,0.0,0.0,15.917277336120605,23.10196876525879,12.007444381713867,12.007444381713867,-0.029759645462036133,0.3915928304195404,81.64461517333984,4319.0,18.35538673400879,971.0,0.0,0.0,0.0,0.0,0.0,0.0,1.003685712814331,0.010770801454782486,0.2965664863586426,0.44398239254951477,0.2594511806964874,0.05220774933695793,0.11920291930437088,0.9956899285316467,0.9938179850578308,0.2857142857142857,0.2982456088066101,0.2655388414859772,0.22994986176490784,0.2062656730413437
6,0.2410532635342403,12.19362735748291,18.634214401245117,9.27867603302002,9.27867603302002,0.3298127055168152,0.625054657459259,87.97731018066406,18616.0,12.022684097290039,2544.0,0.0,0.0,0.0,0.0,0.0,0.0,6.891432285308838,10.371894836425781,5.314757347106934,5.314757347106934,0.792324423789978,0.8931100964546204,97.56143951416016,5161.0,2.438563346862793,129.0,0.0,0.0,0.0,0.0,0.0,0.0,11.573394775390625,17.33750343322754,8.829949378967285,8.829949378967285,0.41973090171813965,0.6779466867446899,89.45179748535156,4732.0,10.54820442199707,558.0,0.0,0.0,0.0,0.0,0.0,0.0,14.357897758483887,21.119314193725586,10.89227294921875,10.89227294921875,0.13921910524368286,0.50091153383255,83.68620300292969,4427.0,16.313800811767578,863.0,0.0,0.0,0.0,0.0,0.0,0.0,15.951784133911133,23.124561309814453,12.077723503112793,12.077723503112793,-0.03177452087402344,0.3870657980442047,81.20983123779297,4296.0,18.790170669555664,994.0,0.0,0.0,0.0,0.0,0.0,0.0,1.002658486366272,0.01071569137275219,0.3356359302997589,0.4063451886177063,0.2580189108848572,0.07044711709022522,0.11920291930437088,0.9982768893241882,0.9921972751617432,0.35714285714285715,0.28947368264198303,0.2610902190208435,0.23327067494392395,0.2161654233932495
7,0.23746851987277115,12.179405212402344,18.509029388427734,9.246371269226074,9.246371269226074,0.33878713846206665,0.631390392780304,88.08129119873047,18638.0,11.91871452331543,2522.0,0.0,0.0,0.0,0.0,0.0,0.0,6.752958297729492,10.066459655761719,5.217193603515625,5.217193603515625,0.8043757677078247,0.9000205993652344,97.65595245361328,5166.0,2.344045400619507,124.0,0.0,0.0,0.0,0.0,0.0,0.0,11.546667098999023,17.180313110351562,8.791751861572266,8.791751861572266,0.43020522594451904,0.685010552406311,89.58412170410156,4739.0,10.415879249572754,551.0,0.0,0.0,0.0,0.0,0.0,0.0,14.389935493469238,21.02257537841797,10.88662052154541,10.88662052154541,0.14708679914474487,0.5051895380020142,84.0264663696289,4445.0,15.973535537719727,845.0,0.0,0.0,0.0,0.0,0.0,0.0,16.028064727783203,23.062768936157227,12.089920997619629,12.089920997619629,-0.0262678861618042,0.3883158266544342,81.05860137939453,4288.0,18.94139862060547,1002.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0048975944519043,0.010669912211596966,0.3486447334289551,0.36289072036743164,0.28846457600593567,0.09140220284461975,0.11920291930437088,0.9979614615440369,0.9795061349868774,0.42857142857142855,0.28070175647735596,0.25664159655570984,0.23659147322177887,0.22606515884399414
8,0.23315596522648366,12.144000053405762,18.39534568786621,9.22397232055664,9.22397232055664,0.34688472747802734,0.63655686378479,87.98677062988281,18618.0,12.013233184814453,2542.0,0.0,0.0,0.0,0.0,0.0,0.0,6.552751541137695,9.627379417419434,5.0766401290893555,5.0766401290893555,0.821069061756134,0.9093685150146484,98.09073638916016,5189.0,1.9092626571655273,101.0,0.0,0.0,0.0,0.0,0.0,0.0,11.490033149719238,16.96718978881836,8.75552749633789,8.75552749633789,0.44425439834594727,0.6944782733917236,89.64083099365234,4742.0,10.35916805267334,548.0,0.0,0.0,0.0,0.0,0.0,0.0,14.41214656829834,20.95592498779297,10.906908988952637,10.906908988952637,0.1524863839149475,0.5063747763633728,83.81852722167969,4434.0,16.181474685668945,856.0,0.0,0.0,0.0,0.0,0.0,0.0,16.12106704711914,23.104808807373047,12.156811714172363,12.156811714172363,-0.03001260757446289,0.3837118148803711,80.39697265625,4253.0,19.603023529052734,1037.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0048911571502686,0.01065757591277361,0.3407112658023834,0.36760056018829346,0.2916882336139679,0.11498770117759705,0.11920291930437088,0.9985435605049133,0.9615069627761841,0.5,0.2719298303127289,0.25219297409057617,0.2399122714996338,0.23596492409706116
9,0.2263646887358657,12.052655220031738,18.307270050048828,9.166089057922363,9.166089057922363,0.35312384366989136,0.6418231725692749,87.97258758544922,18615.0,12.027410507202148,2545.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0867791175842285,8.925453186035156,4.739792823791504,4.739792823791504,0.8462094068527222,0.9221221804618835,98.52552032470703,5212.0,1.474480152130127,78.0,0.0,0.0,0.0,0.0,0.0,0.0,11.32762336730957,16.686466217041016,8.657791137695312,8.657791137695312,0.4624919295310974,0.7059047818183899,90.01890563964844,4762.0,9.981096267700195,528.0,0.0,0.0,0.0,0.0,0.0,0.0,14.515963554382324,21.028738021850586,10.99896240234375,10.99896240234375,0.14658671617507935,0.50193190574646,83.4404525756836,4414.0,16.559545516967773,876.0,0.0,0.0,0.0,0.0,0.0,0.0,16.280256271362305,23.244674682617188,12.267807960510254,12.267807960510254,-0.042520999908447266,0.37715449929237366,79.90547943115234,4227.0,20.094518661499023,1063.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0035955905914307,0.010659952647984028,0.3354930281639099,0.348279744386673,0.3162272870540619,0.12577754259109497,0.11920291930437088,0.9872919917106628,0.9534298777580261,0.5714285714285714,0.2631579041481018,0.2477443516254425,0.2432330846786499,0.24586467444896698
10,0.22361975894187958,12.132184982299805,18.385644912719727,9.217395782470703,9.217395782470703,0.34757333993911743,0.6404784917831421,88.0765609741211,18637.0,11.91871452331543,2522.0,0.0047258976846933365,1.0,0.0,0.0,0.0,0.0,5.940975189208984,8.605173110961914,4.635307788848877,4.635307788848877,0.8570485711097717,0.9278867244720459,98.71455383300781,5222.0,1.2854442596435547,68.0,0.0,0.0,0.0,0.0,0.0,0.0,11.357102394104004,16.599693298339844,8.68005657196045,8.68005657196045,0.4680677056312561,0.7102411985397339,90.39697265625,4782.0,9.60302448272705,508.0,0.0,0.0,0.0,0.0,0.0,0.0,14.681631088256836,21.185657501220703,11.104955673217773,11.104955673217773,0.1338024139404297,0.49700185656547546,83.66729736328125,4426.0,16.313800811767578,863.0,0.018903590738773346,1.0,0.0,0.0,0.0,0.0,16.549030303955078,23.53076171875,12.449263572692871,12.449263572692871,-0.06834077835083008,0.36091306805610657,79.52740478515625,4207.0,20.47258949279785,1083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998089075088501,0.010693942196667194,0.330138236284256,0.3578900992870331,0.3119717240333557,0.15407070517539978,0.11920291930437088,0.9771442413330078,0.931934118270874,0.6428571428571429,0.25438597798347473,0.24329572916030884,0.24655388295650482,0.2557644248008728
