fold=01 test_subject=001 mae=8.626056 rmse=12.379356 train_time_s=7827.274 inference_time_s=6.326993
fold=02 test_subject=002 mae=12.163541 rmse=17.451025 train_time_s=7028.382 inference_time_s=4.455053
fold=03 test_subject=003 mae=9.304809 rmse=14.626168 train_time_s=6509.666 inference_time_s=2.894159
fold=04 test_subject=004 mae=9.470312 rmse=14.156633 train_time_s=5586.160 inference_time_s=3.032021
fold=05 test_subject=005 mae=7.829058 rmse=11.083321 train_time_s=6040.066 inference_time_s=5.195723
fold=06 test_subject=006 mae=11.413597 rmse=17.737202 train_time_s=5690.102 inference_time_s=3.621253
fold=07 test_subject=007 mae=9.442034 rmse=14.283984 train_time_s=7353.925 inference_time_s=5.469874
fold=08 test_subject=008 mae=9.785582 rmse=13.869128 train_time_s=8242.687 inference_time_s=4.829231
fold=09 test_subject=009 mae=10.847654 rmse=17.407595 train_time_s=8670.330 inference_time_s=6.496610
fold=10 test_subject=010 mae=14.692986 rmse=23.516413 train_time_s=6390.362 inference_time_s=4.408825
fold=11 test_subject=011 mae=11.227289 rmse=16.907080 train_time_s=10513.103 inference_time_s=4.989255
fold=12 test_subject=012 mae=9.205941 rmse=14.884137 train_time_s=6384.266 inference_time_s=4.393093
fold=13 test_subject=013 mae=11.314829 rmse=18.453684 train_time_s=7937.752 inference_time_s=4.855420
fold=14 test_subject=014 mae=10.998556 rmse=16.902672 train_time_s=6972.365 inference_time_s=3.018062
fold=15 test_subject=015 mae=8.159449 rmse=11.873923 train_time_s=5513.327 inference_time_s=0.846526
fold=16 test_subject=016 mae=11.293661 rmse=16.010422 train_time_s=6243.622 inference_time_s=3.864974
