step,fold1/train_loss,fold1/val_mae,fold1/val_rmse,fold1/val_mard,fold1/val_mape,fold1/val_r2,fold1/val_pearson,fold1/val_ega_zone_a_pct,fold1/val_ega_zone_a_count,fold1/val_ega_zone_b_pct,fold1/val_ega_zone_b_count,fold1/val_ega_zone_c_pct,fold1/val_ega_zone_c_count,fold1/val_ega_zone_d_pct,fold1/val_ega_zone_d_count,fold1/val_ega_zone_e_pct,fold1/val_ega_zone_e_count,fold1/val_horizon_15_mae,fold1/val_horizon_15_rmse,fold1/val_horizon_15_mard,fold1/val_horizon_15_mape,fold1/val_horizon_15_r2,fold1/val_horizon_15_pearson,fold1/val_horizon_15_ega_zone_a_pct,fold1/val_horizon_15_ega_zone_a_count,fold1/val_horizon_15_ega_zone_b_pct,fold1/val_horizon_15_ega_zone_b_count,fold1/val_horizon_15_ega_zone_c_pct,fold1/val_horizon_15_ega_zone_c_count,fold1/val_horizon_15_ega_zone_d_pct,fold1/val_horizon_15_ega_zone_d_count,fold1/val_horizon_15_ega_zone_e_pct,fold1/val_horizon_15_ega_zone_e_count,fold1/val_horizon_30_mae,fold1/val_horizon_30_rmse,fold1/val_horizon_30_mard,fold1/val_horizon_30_mape,fold1/val_horizon_30_r2,fold1/val_horizon_30_pearson,fold1/val_horizon_30_ega_zone_a_pct,fold1/val_horizon_30_ega_zone_a_count,fold1/val_horizon_30_ega_zone_b_pct,fold1/val_horizon_30_ega_zone_b_count,fold1/val_horizon_30_ega_zone_c_pct,fold1/val_horizon_30_ega_zone_c_count,fold1/val_horizon_30_ega_zone_d_pct,fold1/val_horizon_30_ega_zone_d_count,fold1/val_horizon_30_ega_zone_e_pct,fold1/val_horizon_30_ega_zone_e_count,fold1/val_horizon_45_mae,fold1/val_horizon_45_rmse,fold1/val_horizon_45_mard,fold1/val_horizon_45_mape,fold1/val_horizon_45_r2,fold1/val_horizon_45_pearson,fold1/val_horizon_45_ega_zone_a_pct,fold1/val_horizon_45_ega_zone_a_count,fold1/val_horizon_45_ega_zone_b_pct,fold1/val_horizon_45_ega_zone_b_count,fold1/val_horizon_45_ega_zone_c_pct,fold1/val_horizon_45_ega_zone_c_count,fold1/val_horizon_45_ega_zone_d_pct,fold1/val_horizon_45_ega_zone_d_count,fold1/val_horizon_45_ega_zone_e_pct,fold1/val_horizon_45_ega_zone_e_count,fold1/val_horizon_60_mae,fold1/val_horizon_60_rmse,fold1/val_horizon_60_mard,fold1/val_horizon_60_mape,fold1/val_horizon_60_r2,fold1/val_horizon_60_pearson,fold1/val_horizon_60_ega_zone_a_pct,fold1/val_horizon_60_ega_zone_a_count,fold1/val_horizon_60_ega_zone_b_pct,fold1/val_horizon_60_ega_zone_b_count,fold1/val_horizon_60_ega_zone_c_pct,fold1/val_horizon_60_ega_zone_c_count,fold1/val_horizon_60_ega_zone_d_pct,fold1/val_horizon_60_ega_zone_d_count,fold1/val_horizon_60_ega_zone_e_pct,fold1/val_horizon_60_ega_zone_e_count,fold1/diag_horizon_curriculum_progress,fold1/diag_loss_horizon_weight_0,fold1/diag_loss_horizon_weight_1,fold1/diag_loss_horizon_weight_2,fold1/diag_loss_horizon_weight_3
1,0.22618471611211766,15.260249137878418,21.552120208740234,11.023990631103516,11.023990631103516,0.1034923791885376,0.6542611122131348,85.22684478759766,18034.0,14.773157119750977,3126.0,0.0,0.0,0.0,0.0,0.0,0.0,12.516340255737305,17.244857788085938,9.05025863647461,9.05025863647461,0.42589879035949707,0.9045845866203308,92.2873306274414,4882.0,7.71266508102417,408.0,0.0,0.0,0.0,0.0,0.0,0.0,14.719779014587402,20.747743606567383,10.652765274047852,10.652765274047852,0.16900569200515747,0.695911169052124,86.14366912841797,4557.0,13.856331825256348,733.0,0.0,0.0,0.0,0.0,0.0,0.0,16.552858352661133,23.29319190979004,11.949908256530762,11.949908256530762,-0.04710686206817627,0.5200445652008057,82.11720275878906,4344.0,17.882797241210938,946.0,0.0,0.0,0.0,0.0,0.0,0.0,17.252017974853516,24.239408493041992,12.443033218383789,12.443033218383789,-0.13365745544433594,0.4187360405921936,80.35916900634766,4251.0,19.640830993652344,1039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.28333333134651184,0.21666665375232697,0.1666666716337204
2,0.20631945438747898,11.7383451461792,17.71570587158203,8.691481590270996,8.691481590270996,0.3942534923553467,0.6879732608795166,90.20321655273438,19087.0,9.796786308288574,2073.0,0.0,0.0,0.0,0.0,0.0,0.0,6.453578948974609,9.078352928161621,4.86477518081665,4.86477518081665,0.8408951759338379,0.9423697590827942,98.99810791015625,5237.0,1.0018904209136963,53.0,0.0,0.0,0.0,0.0,0.0,0.0,11.094015121459961,16.229351043701172,8.282882690429688,8.282882690429688,0.49153798818588257,0.7462663054466248,91.94707489013672,4864.0,8.052929878234863,426.0,0.0,0.0,0.0,0.0,0.0,0.0,13.998758316040039,20.374935150146484,10.324228286743164,10.324228286743164,0.19882851839065552,0.5522220134735107,86.54064178466797,4578.0,13.459357261657715,712.0,0.0,0.0,0.0,0.0,0.0,0.0,15.40703010559082,22.235979080200195,11.294039726257324,11.294039726257324,0.04599565267562866,0.4330672323703766,83.32703399658203,4408.0,16.6729679107666,882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.3245614171028137,0.2788847088813782,0.21998745203018188,0.17656642198562622
3,0.20645515902835926,10.914923667907715,17.080787658691406,8.169465065002441,8.169465065002441,0.4368945360183716,0.6960078477859497,90.45841217041016,19141.0,9.541587829589844,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04978084564209,7.293034553527832,3.9124417304992676,3.9124417304992676,0.897320032119751,0.9510941505432129,99.31947326660156,5254.0,0.6805292963981628,36.0,0.0,0.0,0.0,0.0,0.0,0.0,10.258317947387695,15.378493309020996,7.763316631317139,7.763316631317139,0.5434547662734985,0.7587398886680603,92.04158782958984,4869.0,7.958412170410156,421.0,0.0,0.0,0.0,0.0,0.0,0.0,13.400714874267578,19.90582847595215,9.974039077758789,9.974039077758789,0.23529571294784546,0.5586844682693481,86.76748657226562,4590.0,13.232514381408691,700.0,0.0,0.0,0.0,0.0,0.0,0.0,14.950881958007812,21.933643341064453,11.028067588806152,11.028067588806152,0.0717618465423584,0.4333028495311737,83.7051010131836,4428.0,16.294897079467773,862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.31578949093818665,0.2744360864162445,0.223308265209198,0.18646617233753204
4,0.20598842082385793,10.716452598571777,16.961008071899414,8.033332824707031,8.033332824707031,0.4447644352912903,0.6984053254127502,90.4773178100586,19145.0,9.522685050964355,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87921142578125,7.093814373016357,3.796149730682373,3.796149730682373,0.9028531312942505,0.9528461694717407,99.43289184570312,5260.0,0.5671077370643616,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.045488357543945,15.199284553527832,7.620717525482178,7.620717525482178,0.5540331602096558,0.7626399993896484,92.07939147949219,4871.0,7.920604705810547,419.0,0.0,0.0,0.0,0.0,0.0,0.0,13.187254905700684,19.7907657623291,9.827310562133789,9.827310562133789,0.24411064386367798,0.5615107417106628,86.61625671386719,4582.0,13.383743286132812,708.0,0.0,0.0,0.0,0.0,0.0,0.0,14.753852844238281,21.856081008911133,10.889153480529785,10.889153480529785,0.07831519842147827,0.4336908459663391,83.78071594238281,4432.0,16.219282150268555,858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.30701756477355957,0.26998746395111084,0.22662906348705292,0.19636592268943787
5,0.20539145496864283,10.663639068603516,16.924612045288086,7.995632171630859,7.995632171630859,0.4471447467803955,0.6989642381668091,90.55293273925781,19161.0,9.447070121765137,1999.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82777738571167,7.0089030265808105,3.764235258102417,3.764235258102417,0.9051648378372192,0.9536187648773193,99.50850677490234,5264.0,0.4914933741092682,26.0,0.0,0.0,0.0,0.0,0.0,0.0,9.998541831970215,15.151626586914062,7.585782051086426,7.585782051086426,0.5568255186080933,0.7638607025146484,92.0037841796875,4867.0,7.996219635009766,423.0,0.0,0.0,0.0,0.0,0.0,0.0,13.135787963867188,19.76091766357422,9.791621208190918,9.791621208190918,0.24638903141021729,0.561995267868042,86.8241958618164,4593.0,13.175803184509277,697.0,0.0,0.0,0.0,0.0,0.0,0.0,14.692445755004883,21.830705642700195,10.840888977050781,10.840888977050781,0.08045423030853271,0.43331047892570496,83.87523651123047,4437.0,16.12476348876953,853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2982456088066101,0.2655388414859772,0.22994986176490784,0.2062656730413437
6,0.20555919867031663,10.68198299407959,16.924837112426758,8.002493858337402,8.002493858337402,0.44713008403778076,0.7010732889175415,90.55765533447266,19162.0,9.442344665527344,1998.0,0.0,0.0,0.0,0.0,0.0,0.0,4.820072650909424,6.974025249481201,3.7627429962158203,3.7627429962158203,0.9061063528060913,0.9543402791023254,99.47069549560547,5262.0,0.5293005704879761,28.0,0.0,0.0,0.0,0.0,0.0,0.0,10.007278442382812,15.098453521728516,7.591273784637451,7.591273784637451,0.5599306225776672,0.7675430774688721,92.04158782958984,4869.0,7.958412170410156,421.0,0.0,0.0,0.0,0.0,0.0,0.0,13.141756057739258,19.745128631591797,9.787266731262207,9.787266731262207,0.24759280681610107,0.5660414695739746,86.78639221191406,4591.0,13.213610649108887,699.0,0.0,0.0,0.0,0.0,0.0,0.0,14.758822441101074,21.893606185913086,10.868693351745605,10.868693351745605,0.07514750957489014,0.43608495593070984,83.93194580078125,4440.0,16.06805419921875,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.28947368264198303,0.2610902190208435,0.23327067494392395,0.2161654233932495
7,0.20547664547532002,10.7393798828125,16.932270050048828,8.042243957519531,8.042243957519531,0.4466444253921509,0.703029215335846,90.4962158203125,19149.0,9.50378131866455,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,4.872267246246338,7.0149827003479,3.8000128269195557,3.8000128269195557,0.9050002694129944,0.954171359539032,99.43289184570312,5260.0,0.5671077370643616,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.090770721435547,15.116585731506348,7.656064033508301,7.656064033508301,0.5588729381561279,0.768843948841095,91.81474304199219,4857.0,8.18525505065918,433.0,0.0,0.0,0.0,0.0,0.0,0.0,13.194381713867188,19.74359703063965,9.823274612426758,9.823274612426758,0.2477095127105713,0.5698888897895813,86.9376220703125,4599.0,13.062381744384766,691.0,0.0,0.0,0.0,0.0,0.0,0.0,14.800100326538086,21.892377853393555,10.889627456665039,10.889627456665039,0.07525140047073364,0.44358029961586,83.79962158203125,4433.0,16.20037841796875,857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.28070175647735596,0.25664159655570984,0.23659147322177887,0.22606515884399414
8,0.2052173102392898,10.766373634338379,16.980382919311523,8.06445026397705,8.06445026397705,0.44349515438079834,0.700541079044342,90.51512145996094,19153.0,9.484877586364746,2007.0,0.0,0.0,0.0,0.0,0.0,0.0,4.874096393585205,7.056925296783447,3.8054823875427246,3.8054823875427246,0.903860867023468,0.9532781839370728,99.43289184570312,5260.0,0.5671077370643616,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.129321098327637,15.190571784973145,7.687570095062256,7.687570095062256,0.5545443296432495,0.7657340168952942,91.83364868164062,4858.0,8.166352272033691,432.0,0.0,0.0,0.0,0.0,0.0,0.0,13.235433578491211,19.80921745300293,9.851014137268066,9.851014137268066,0.2427005171775818,0.5662992596626282,86.88090515136719,4596.0,13.11909294128418,694.0,0.0,0.0,0.0,0.0,0.0,0.0,14.826643943786621,21.917457580566406,10.913738250732422,10.913738250732422,0.07313132286071777,0.44015318155288696,83.91304779052734,4439.0,16.086956024169922,851.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2719298303127289,0.25219297409057617,0.2399122714996338,0.23596492409706116
9,0.20492444348597114,10.888508796691895,17.10146141052246,8.148414611816406,8.148414611816406,0.4355306625366211,0.6987631320953369,90.34498596191406,19117.0,9.655009269714355,2043.0,0.0,0.0,0.0,0.0,0.0,0.0,4.944011211395264,7.12462854385376,3.8557562828063965,3.8557562828063965,0.9020072817802429,0.952796995639801,99.37618255615234,5257.0,0.6238185167312622,33.0,0.0,0.0,0.0,0.0,0.0,0.0,10.265652656555176,15.319646835327148,7.778441905975342,7.778441905975342,0.5469419956207275,0.7640069127082825,91.83364868164062,4858.0,8.166352272033691,432.0,0.0,0.0,0.0,0.0,0.0,0.0,13.362093925476074,19.953872680664062,9.933402061462402,9.933402061462402,0.23159992694854736,0.5643075108528137,86.6918716430664,4586.0,13.308128356933594,704.0,0.0,0.0,0.0,0.0,0.0,0.0,14.982279777526855,22.050643920898438,11.026057243347168,11.026057243347168,0.061832547187805176,0.4402993321418762,83.47825622558594,4416.0,16.521738052368164,874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.2631579041481018,0.2477443516254425,0.2432330846786499,0.24586467444896698
10,0.20420078521827958,11.019631385803223,17.17841911315918,8.253671646118164,8.253671646118164,0.4304388165473938,0.696273148059845,90.20793914794922,19088.0,9.792060852050781,2072.0,0.0,0.0,0.0,0.0,0.0,0.0,4.989952087402344,7.130983829498291,3.896836280822754,3.896836280822754,0.9018324017524719,0.9524800181388855,99.39508056640625,5258.0,0.6049149036407471,32.0,0.0,0.0,0.0,0.0,0.0,0.0,10.345091819763184,15.34069538116455,7.848949909210205,7.848949909210205,0.5456962585449219,0.7632162570953369,91.7580337524414,4854.0,8.241965293884277,436.0,0.0,0.0,0.0,0.0,0.0,0.0,13.55599594116211,20.075273513793945,10.083738327026367,10.083738327026367,0.22222143411636353,0.5602405667304993,86.44612121582031,4573.0,13.553875923156738,717.0,0.0,0.0,0.0,0.0,0.0,0.0,15.187485694885254,22.162761688232422,11.185161590576172,11.185161590576172,0.05226790904998779,0.4362119734287262,83.23251342773438,4403.0,16.767484664916992,887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,0.25438597798347473,0.24329572916030884,0.24655388295650482,0.2557644248008728
