fold=01 test_subject=001 mae=7.844097 rmse=11.284090 train_time_s=1451.338 inference_time_s=2.575050
fold=02 test_subject=002 mae=11.674889 rmse=16.543697 train_time_s=1319.727 inference_time_s=2.536359
fold=03 test_subject=003 mae=8.635234 rmse=14.115229 train_time_s=1111.587 inference_time_s=1.525459
fold=04 test_subject=004 mae=8.965375 rmse=13.351626 train_time_s=1084.668 inference_time_s=1.985457
fold=05 test_subject=005 mae=7.646602 rmse=11.020413 train_time_s=1537.531 inference_time_s=2.938566
fold=06 test_subject=006 mae=10.432455 rmse=16.925301 train_time_s=1563.064 inference_time_s=2.200510
fold=07 test_subject=007 mae=10.923317 rmse=14.552738 train_time_s=1131.637 inference_time_s=2.761416
fold=08 test_subject=008 mae=9.509326 rmse=13.621358 train_time_s=1587.937 inference_time_s=2.754418
fold=09 test_subject=009 mae=9.387469 rmse=15.252625 train_time_s=1464.377 inference_time_s=3.397740
fold=10 test_subject=010 mae=13.185319 rmse=21.206043 train_time_s=1484.364 inference_time_s=2.849556
fold=11 test_subject=011 mae=10.284518 rmse=15.553042 train_time_s=1181.862 inference_time_s=2.961802
fold=12 test_subject=012 mae=8.365394 rmse=13.643257 train_time_s=1049.585 inference_time_s=2.624203
fold=13 test_subject=013 mae=10.427333 rmse=17.374804 train_time_s=1977.462 inference_time_s=2.707256
fold=14 test_subject=014 mae=10.194259 rmse=16.260658 train_time_s=1203.446 inference_time_s=2.028932
fold=15 test_subject=015 mae=7.178961 rmse=10.774416 train_time_s=1238.417 inference_time_s=0.580983
fold=16 test_subject=016 mae=10.847947 rmse=15.266994 train_time_s=1777.642 inference_time_s=6.244676
