fold,test_subject,train_time_seconds,inference_time_seconds,inference_ms_per_sample,parameter_count,mae,rmse,mard,mape,r2,pearson,ega_zone_a_pct,ega_zone_b_pct,ega_zone_c_pct,ega_zone_d_pct,ega_zone_e_pct
1,001,48.80804410204291,0.03191101527772844,0.017399681176514963,18948,10.002057075500488,13.22311019897461,9.336066246032715,9.336066246032715,0.3285185694694519,0.5780317783355713,90.45801544189453,9.432933807373047,0.0,0.10905124992132187,0.0
2,002,47.44839032110758,0.03039546310901642,0.016600471386682917,18948,15.421740531921387,20.205646514892578,11.583915710449219,11.583915710449219,-0.032772064208984375,0.4343132972717285,83.28782653808594,16.71217918395996,0.0,0.0,0.0
3,003,42.998122069984674,0.01826484641060233,0.014753510832473612,18948,13.091903686523438,19.054811477661133,12.024402618408203,12.024402618408203,-0.11618626117706299,0.10856898128986359,81.7447509765625,17.689823150634766,0.0,0.5654280781745911,0.0
4,004,43.66128600598313,0.09422519360668957,0.07436874002106517,18948,11.95633316040039,16.904356002807617,10.44256591796875,10.44256591796875,0.2425978183746338,0.501213550567627,85.16179656982422,14.680346488952637,0.0,0.15785318613052368,0.0
5,005,79.28752455394715,0.04792520869523287,0.021853720335263505,18948,10.57853889465332,14.063458442687988,10.408515930175781,10.408515930175781,0.1368134617805481,0.4862977862358093,86.4569091796875,13.497492790222168,0.0,0.04559963569045067,0.0
6,006,49.74036767706275,0.030225953087210655,0.01995112414997403,18948,16.208162307739258,23.665760040283203,12.252144813537598,12.252144813537598,0.14809346199035645,0.4219211935997009,80.33003234863281,19.669965744018555,0.0,0.0,0.0
7,007,61.39306812500581,0.02974254684522748,0.01518251497969754,18948,13.028460502624512,17.814332962036133,14.560983657836914,14.560983657836914,0.0686870813369751,0.40066805481910706,72.58805847167969,22.256254196166992,0.0,5.155691623687744,0.0
8,008,46.743173588998616,0.03117578849196434,0.01632240235181379,18948,11.311249732971191,15.650009155273438,10.43677043914795,10.43677043914795,0.24335592985153198,0.5102189779281616,85.44503021240234,13.298429489135742,0.0,1.2565444707870483,0.0
9,009,53.105935127008706,0.03138617426156998,0.015155081729391588,18948,13.770840644836426,21.102142333984375,10.06654167175293,10.06654167175293,0.16510343551635742,0.5131855010986328,85.99710083007812,14.002897262573242,0.0,0.0,0.0
10,010,44.418829567031935,0.027099102037027478,0.014217787007884302,18948,17.261388778686523,27.71573829650879,15.204249382019043,15.204249382019043,0.1133188009262085,0.3842078447341919,76.23294830322266,21.19622230529785,0.0,2.570828914642334,0.0
11,011,50.35112928296439,0.042193647008389235,0.01977209325603994,18948,15.148613929748535,20.98931312561035,12.298103332519531,12.298103332519531,0.23734384775161743,0.506641149520874,79.56888580322266,20.431114196777344,0.0,0.0,0.0
12,012,43.88646694389172,0.030266378074884415,0.016936977098424406,18948,11.218899726867676,17.178680419921875,8.88620376586914,8.88620376586914,0.19298148155212402,0.4522819519042969,89.98321533203125,10.0167875289917,0.0,0.0,0.0
13,013,73.4458924359642,0.029428962850943208,0.015138355375999592,18948,15.31352424621582,23.127552032470703,11.085411071777344,11.085411071777344,-0.060044169425964355,0.3467789590358734,83.59053802490234,16.409465789794922,0.0,0.0,0.0
14,014,57.36587075795978,0.03226783708669245,0.022982789947786648,18948,14.135096549987793,21.31451988220215,11.201485633850098,11.201485633850098,0.057457923889160156,0.36153754591941833,82.12250518798828,17.80626678466797,0.0,0.07122506946325302,0.0
15,015,48.54769796086475,0.006140440236777067,0.016032481035971456,18948,9.913487434387207,14.528738021850586,8.742605209350586,8.742605209350586,-0.006131768226623535,0.3004554212093353,93.21148681640625,6.788511753082275,0.0,0.0,0.0
16,016,67.02936157397926,0.02460376056842506,0.014189019935654591,18948,13.6004638671875,18.34161376953125,12.601263999938965,12.601263999938965,-0.20600903034210205,0.16617025434970856,78.31603240966797,21.68396759033203,0.0,0.0,0.0
