step,fold1/train_loss,fold1/val_mae,fold1/val_rmse,fold1/val_mard,fold1/val_mape,fold1/val_r2,fold1/val_pearson,fold1/val_ega_zone_a_pct,fold1/val_ega_zone_a_count,fold1/val_ega_zone_b_pct,fold1/val_ega_zone_b_count,fold1/val_ega_zone_c_pct,fold1/val_ega_zone_c_count,fold1/val_ega_zone_d_pct,fold1/val_ega_zone_d_count,fold1/val_ega_zone_e_pct,fold1/val_ega_zone_e_count,fold1/val_horizon_15_mae,fold1/val_horizon_15_rmse,fold1/val_horizon_15_mard,fold1/val_horizon_15_mape,fold1/val_horizon_15_r2,fold1/val_horizon_15_pearson,fold1/val_horizon_15_ega_zone_a_pct,fold1/val_horizon_15_ega_zone_a_count,fold1/val_horizon_15_ega_zone_b_pct,fold1/val_horizon_15_ega_zone_b_count,fold1/val_horizon_15_ega_zone_c_pct,fold1/val_horizon_15_ega_zone_c_count,fold1/val_horizon_15_ega_zone_d_pct,fold1/val_horizon_15_ega_zone_d_count,fold1/val_horizon_15_ega_zone_e_pct,fold1/val_horizon_15_ega_zone_e_count,fold1/val_horizon_30_mae,fold1/val_horizon_30_rmse,fold1/val_horizon_30_mard,fold1/val_horizon_30_mape,fold1/val_horizon_30_r2,fold1/val_horizon_30_pearson,fold1/val_horizon_30_ega_zone_a_pct,fold1/val_horizon_30_ega_zone_a_count,fold1/val_horizon_30_ega_zone_b_pct,fold1/val_horizon_30_ega_zone_b_count,fold1/val_horizon_30_ega_zone_c_pct,fold1/val_horizon_30_ega_zone_c_count,fold1/val_horizon_30_ega_zone_d_pct,fold1/val_horizon_30_ega_zone_d_count,fold1/val_horizon_30_ega_zone_e_pct,fold1/val_horizon_30_ega_zone_e_count,fold1/val_horizon_45_mae,fold1/val_horizon_45_rmse,fold1/val_horizon_45_mard,fold1/val_horizon_45_mape,fold1/val_horizon_45_r2,fold1/val_horizon_45_pearson,fold1/val_horizon_45_ega_zone_a_pct,fold1/val_horizon_45_ega_zone_a_count,fold1/val_horizon_45_ega_zone_b_pct,fold1/val_horizon_45_ega_zone_b_count,fold1/val_horizon_45_ega_zone_c_pct,fold1/val_horizon_45_ega_zone_c_count,fold1/val_horizon_45_ega_zone_d_pct,fold1/val_horizon_45_ega_zone_d_count,fold1/val_horizon_45_ega_zone_e_pct,fold1/val_horizon_45_ega_zone_e_count,fold1/val_horizon_60_mae,fold1/val_horizon_60_rmse,fold1/val_horizon_60_mard,fold1/val_horizon_60_mape,fold1/val_horizon_60_r2,fold1/val_horizon_60_pearson,fold1/val_horizon_60_ega_zone_a_pct,fold1/val_horizon_60_ega_zone_a_count,fold1/val_horizon_60_ega_zone_b_pct,fold1/val_horizon_60_ega_zone_b_count,fold1/val_horizon_60_ega_zone_c_pct,fold1/val_horizon_60_ega_zone_c_count,fold1/val_horizon_60_ega_zone_d_pct,fold1/val_horizon_60_ega_zone_d_count,fold1/val_horizon_60_ega_zone_e_pct,fold1/val_horizon_60_ega_zone_e_count,fold1/diag_horizon_curriculum_progress,fold1/diag_loss_horizon_weight_0,fold1/diag_loss_horizon_weight_1,fold1/diag_loss_horizon_weight_2,fold1/diag_loss_horizon_weight_3
1,0.3291486216017306,15.767202377319336,22.49213218688965,11.384854316711426,11.384854316711426,0.023583292961120605,0.5533021688461304,83.32703399658203,17632.0,16.6729679107666,3528.0,0.0,0.0,0.0,0.0,0.0,0.0,13.050324440002441,18.764673233032227,9.508621215820312,9.508621215820312,0.32024675607681274,0.7690656185150146,89.03591918945312,4710.0,10.964082717895508,580.0,0.0,0.0,0.0,0.0,0.0,0.0,15.49726676940918,22.087095260620117,11.203041076660156,11.203041076660156,0.058254778385162354,0.5935295820236206,83.81852722167969,4434.0,16.181474685668945,856.0,0.0,0.0,0.0,0.0,0.0,0.0,16.91825294494629,23.913190841674805,12.176894187927246,12.176894187927246,-0.10359072685241699,0.46648895740509033,80.86956787109375,4278.0,19.130434036254883,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,17.602962493896484,24.73440170288086,12.650863647460938,12.650863647460938,-0.18043112754821777,0.40004223585128784,79.58412170410156,4210.0,20.415878295898438,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.28333333134651184,0.21666665375232697,0.1666666716337204
2,0.23522431700959479,12.497350692749023,18.929916381835938,9.225564002990723,9.225564002990723,0.3083738684654236,0.6215121746063232,88.43572998046875,18713.0,11.564271926879883,2447.0,0.0,0.0,0.0,0.0,0.0,0.0,7.970931529998779,12.023548126220703,6.032005310058594,6.032005310058594,0.7209162712097168,0.8642971515655518,96.35160827636719,5097.0,3.648393154144287,193.0,0.0,0.0,0.0,0.0,0.0,0.0,12.080622673034668,18.046628952026367,8.990348815917969,8.990348815917969,0.37129276990890503,0.6556088924407959,89.13043975830078,4715.0,10.8695650100708,575.0,0.0,0.0,0.0,0.0,0.0,0.0,14.371399879455566,21.221927642822266,10.537686347961426,10.537686347961426,0.13083410263061523,0.49572518467903137,85.14177703857422,4504.0,14.858223915100098,786.0,0.0,0.0,0.0,0.0,0.0,0.0,15.566454887390137,22.64398956298828,11.342214584350586,11.342214584350586,0.010664224624633789,0.41340622305870056,83.11909484863281,4397.0,16.88090705871582,893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.3245614171028137,0.2788847088813782,0.21998745203018188,0.17656642198562622
3,0.2151631568599055,11.724040031433105,18.029409408569336,8.69394302368164,8.69394302368164,0.37261080741882324,0.6611709594726562,89.60774993896484,18961.0,10.39224910736084,2199.0,0.0,0.0,0.0,0.0,0.0,0.0,6.475234031677246,9.66084098815918,4.955808639526367,4.955808639526367,0.8198230862617493,0.9126375913619995,98.07183074951172,5188.0,1.9281662702560425,102.0,0.0,0.0,0.0,0.0,0.0,0.0,11.242267608642578,16.86427879333496,8.414505958557129,8.414505958557129,0.45097535848617554,0.7057706713676453,90.66162872314453,4796.0,9.338374137878418,494.0,0.0,0.0,0.0,0.0,0.0,0.0,13.876195907592773,20.57892417907715,10.226341247558594,10.226341247558594,0.18270593881607056,0.5291939377784729,86.18147277832031,4559.0,13.818524360656738,731.0,0.0,0.0,0.0,0.0,0.0,0.0,15.302464485168457,22.338544845581055,11.179116249084473,11.179116249084473,0.03717446327209473,0.43006160855293274,83.51606750488281,4418.0,16.483930587768555,872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.31578949093818665,0.2744360864162445,0.223308265209198,0.18646617233753204
4,0.20620120175605564,11.442907333374023,17.647871017456055,8.503046989440918,8.503046989440918,0.398883581161499,0.6777609586715698,89.92438507080078,19028.0,10.075614929199219,2132.0,0.0,0.0,0.0,0.0,0.0,0.0,5.79517936706543,8.611695289611816,4.456887722015381,4.456887722015381,0.8568317890167236,0.9307644963264465,98.67675018310547,5220.0,1.323251485824585,70.0,0.0,0.0,0.0,0.0,0.0,0.0,10.930068969726562,16.330799102783203,8.19691276550293,8.19691276550293,0.48516136407852173,0.7283064126968384,91.02079010009766,4815.0,8.979206085205078,475.0,0.0,0.0,0.0,0.0,0.0,0.0,13.76648998260498,20.307971954345703,10.169357299804688,10.169357299804688,0.20408600568771362,0.5455328226089478,86.57845306396484,4580.0,13.421550750732422,710.0,0.0,0.0,0.0,0.0,0.0,0.0,15.279890060424805,22.192777633666992,11.189033508300781,11.189033508300781,0.04969906806945801,0.4378959834575653,83.42155456542969,4413.0,16.578449249267578,877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.30701756477355957,0.26998746395111084,0.22662906348705292,0.19636592268943787
5,0.20168889599269688,11.245917320251465,17.36951446533203,8.388015747070312,8.388015747070312,0.41769665479660034,0.6861882209777832,90.25520324707031,19098.0,9.74480152130127,2062.0,0.0,0.0,0.0,0.0,0.0,0.0,5.454962730407715,8.060476303100586,4.213165760040283,4.213165760040283,0.8745731115341187,0.9391735196113586,98.94139862060547,5234.0,1.0586011409759521,56.0,0.0,0.0,0.0,0.0,0.0,0.0,10.693843841552734,15.949119567871094,8.054802894592285,8.054802894592285,0.5089455246925354,0.7398064136505127,91.70132446289062,4851.0,8.298676490783691,439.0,0.0,0.0,0.0,0.0,0.0,0.0,13.654470443725586,20.08183479309082,10.123788833618164,10.123788833618164,0.22171294689178467,0.553581178188324,86.59735107421875,4581.0,13.402647018432617,709.0,0.0,0.0,0.0,0.0,0.0,0.0,15.180397987365723,22.003957748413086,11.160305976867676,11.160305976867676,0.06580090522766113,0.4414612650871277,83.78071594238281,4432.0,16.219282150268555,858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2982456088066101,0.2655388414859772,0.22994986176490784,0.2062656730413437
6,0.1999140871122269,11.24112319946289,17.375925064086914,8.395329475402832,8.395329475402832,0.4172666668891907,0.6867448687553406,90.12287139892578,19070.0,9.877126693725586,2090.0,0.0,0.0,0.0,0.0,0.0,0.0,5.307887077331543,7.79003381729126,4.106858253479004,4.106858253479004,0.8828485012054443,0.9434530138969421,99.16824340820312,5246.0,0.8317580223083496,44.0,0.0,0.0,0.0,0.0,0.0,0.0,10.657628059387207,15.87596607208252,8.035454750061035,8.035454750061035,0.5134397745132446,0.7430200576782227,91.73912811279297,4853.0,8.260869026184082,437.0,0.0,0.0,0.0,0.0,0.0,0.0,13.720763206481934,20.132463455200195,10.186444282531738,10.186444282531738,0.21778368949890137,0.5526524782180786,86.27599334716797,4564.0,13.724008560180664,726.0,0.0,0.0,0.0,0.0,0.0,0.0,15.278219223022461,22.127901077270508,11.2525634765625,11.2525634765625,0.055246949195861816,0.4344852864742279,83.3081283569336,4407.0,16.691871643066406,883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.28947368264198303,0.2610902190208435,0.23327067494392395,0.2161654233932495
7,0.19814833304097818,11.323244094848633,17.418561935424805,8.470318794250488,8.470318794250488,0.41440337896347046,0.684270977973938,90.12287139892578,19070.0,9.877126693725586,2090.0,0.0,0.0,0.0,0.0,0.0,0.0,5.227039337158203,7.6433000564575195,4.0512895584106445,4.0512895584106445,0.8872202634811401,0.9453582763671875,99.24385833740234,5250.0,0.7561436891555786,40.0,0.0,0.0,0.0,0.0,0.0,0.0,10.698012351989746,15.851877212524414,8.079498291015625,8.079498291015625,0.5149152278900146,0.7430661916732788,91.77693939208984,4855.0,8.223062515258789,435.0,0.0,0.0,0.0,0.0,0.0,0.0,13.86472225189209,20.208328247070312,10.313236236572266,10.313236236572266,0.21187740564346313,0.5474292039871216,86.20037841796875,4560.0,13.799622535705566,730.0,0.0,0.0,0.0,0.0,0.0,0.0,15.503203392028809,22.26087760925293,11.437253952026367,11.437253952026367,0.04385793209075928,0.4248110353946686,83.27032470703125,4405.0,16.729679107666016,885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.28070175647735596,0.25664159655570984,0.23659147322177887,0.22606515884399414
8,0.19719031329813702,11.430939674377441,17.494295120239258,8.580110549926758,8.580110549926758,0.4093000888824463,0.6782267093658447,90.01417541503906,19047.0,9.985822677612305,2113.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2121710777282715,7.5825629234313965,4.045837879180908,4.045837879180908,0.8890055418014526,0.9460679292678833,99.31947326660156,5254.0,0.6805292963981628,36.0,0.0,0.0,0.0,0.0,0.0,0.0,10.759578704833984,15.857644081115723,8.152304649353027,8.152304649353027,0.51456218957901,0.7402005195617676,91.7580337524414,4854.0,8.241965293884277,436.0,0.0,0.0,0.0,0.0,0.0,0.0,14.02738094329834,20.304349899291992,10.476617813110352,10.476617813110352,0.20437002182006836,0.5364882946014404,85.9735336303711,4548.0,14.026464462280273,742.0,0.0,0.0,0.0,0.0,0.0,0.0,15.724627494812012,22.427099227905273,11.645683288574219,11.645683288574219,0.029525697231292725,0.4059951603412628,83.00567626953125,4391.0,16.99432945251465,899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2719298303127289,0.25219297409057617,0.2399122714996338,0.23596492409706116
9,0.19480054498607544,11.581892967224121,17.63551139831543,8.702616691589355,8.702616691589355,0.39972519874572754,0.6720384955406189,89.72589874267578,18986.0,10.274102210998535,2174.0,0.0,0.0,0.0,0.0,0.0,0.0,5.244542598724365,7.590848445892334,4.071898937225342,4.071898937225342,0.8887628316879272,0.9460835456848145,99.26276397705078,5251.0,0.7372400760650635,39.0,0.0,0.0,0.0,0.0,0.0,0.0,10.883772850036621,15.94249153137207,8.255364418029785,8.255364418029785,0.5093536376953125,0.7367025017738342,91.72023010253906,4852.0,8.279772758483887,438.0,0.0,0.0,0.0,0.0,0.0,0.0,14.224414825439453,20.469350814819336,10.634965896606445,10.634965896606445,0.19138628244400024,0.5272385478019714,85.53874969482422,4525.0,14.461247444152832,765.0,0.0,0.0,0.0,0.0,0.0,0.0,15.97484016418457,22.655393600463867,11.848236083984375,11.848236083984375,0.009667396545410156,0.39012476801872253,82.38185119628906,4358.0,17.618148803710938,932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.2631579041481018,0.2477443516254425,0.2432330846786499,0.24586467444896698
10,0.19218921695077168,11.759617805480957,17.784940719604492,8.851607322692871,8.851607322692871,0.3895096182823181,0.6654548048973083,89.40453338623047,18918.0,10.595462799072266,2242.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3024821281433105,7.647772312164307,4.119369029998779,4.119369029998779,0.8870882391929626,0.9450953602790833,99.31947326660156,5254.0,0.6805292963981628,36.0,0.0,0.0,0.0,0.0,0.0,0.0,11.006024360656738,16.03942108154297,8.36064338684082,8.36064338684082,0.5033692121505737,0.7324107885360718,91.6257095336914,4847.0,8.374290466308594,443.0,0.0,0.0,0.0,0.0,0.0,0.0,14.433893203735352,20.621334075927734,10.811105728149414,10.811105728149414,0.1793338656425476,0.5190578103065491,84.87712860107422,4490.0,15.12287425994873,800.0,0.0,0.0,0.0,0.0,0.0,0.0,16.29606819152832,22.89597511291504,12.115307807922363,12.115307807922363,-0.011477351188659668,0.3760359287261963,81.79584503173828,4327.0,18.204158782958984,963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,0.25438597798347473,0.24329572916030884,0.24655388295650482,0.2557644248008728
