step,fold1/train_loss,fold1/val_mae,fold1/val_rmse,fold1/val_mard,fold1/val_mape,fold1/val_r2,fold1/val_pearson,fold1/val_ega_zone_a_pct,fold1/val_ega_zone_a_count,fold1/val_ega_zone_b_pct,fold1/val_ega_zone_b_count,fold1/val_ega_zone_c_pct,fold1/val_ega_zone_c_count,fold1/val_ega_zone_d_pct,fold1/val_ega_zone_d_count,fold1/val_ega_zone_e_pct,fold1/val_ega_zone_e_count,fold1/val_horizon_15_mae,fold1/val_horizon_15_rmse,fold1/val_horizon_15_mard,fold1/val_horizon_15_mape,fold1/val_horizon_15_r2,fold1/val_horizon_15_pearson,fold1/val_horizon_15_ega_zone_a_pct,fold1/val_horizon_15_ega_zone_a_count,fold1/val_horizon_15_ega_zone_b_pct,fold1/val_horizon_15_ega_zone_b_count,fold1/val_horizon_15_ega_zone_c_pct,fold1/val_horizon_15_ega_zone_c_count,fold1/val_horizon_15_ega_zone_d_pct,fold1/val_horizon_15_ega_zone_d_count,fold1/val_horizon_15_ega_zone_e_pct,fold1/val_horizon_15_ega_zone_e_count,fold1/val_horizon_30_mae,fold1/val_horizon_30_rmse,fold1/val_horizon_30_mard,fold1/val_horizon_30_mape,fold1/val_horizon_30_r2,fold1/val_horizon_30_pearson,fold1/val_horizon_30_ega_zone_a_pct,fold1/val_horizon_30_ega_zone_a_count,fold1/val_horizon_30_ega_zone_b_pct,fold1/val_horizon_30_ega_zone_b_count,fold1/val_horizon_30_ega_zone_c_pct,fold1/val_horizon_30_ega_zone_c_count,fold1/val_horizon_30_ega_zone_d_pct,fold1/val_horizon_30_ega_zone_d_count,fold1/val_horizon_30_ega_zone_e_pct,fold1/val_horizon_30_ega_zone_e_count,fold1/val_horizon_45_mae,fold1/val_horizon_45_rmse,fold1/val_horizon_45_mard,fold1/val_horizon_45_mape,fold1/val_horizon_45_r2,fold1/val_horizon_45_pearson,fold1/val_horizon_45_ega_zone_a_pct,fold1/val_horizon_45_ega_zone_a_count,fold1/val_horizon_45_ega_zone_b_pct,fold1/val_horizon_45_ega_zone_b_count,fold1/val_horizon_45_ega_zone_c_pct,fold1/val_horizon_45_ega_zone_c_count,fold1/val_horizon_45_ega_zone_d_pct,fold1/val_horizon_45_ega_zone_d_count,fold1/val_horizon_45_ega_zone_e_pct,fold1/val_horizon_45_ega_zone_e_count,fold1/val_horizon_60_mae,fold1/val_horizon_60_rmse,fold1/val_horizon_60_mard,fold1/val_horizon_60_mape,fold1/val_horizon_60_r2,fold1/val_horizon_60_pearson,fold1/val_horizon_60_ega_zone_a_pct,fold1/val_horizon_60_ega_zone_a_count,fold1/val_horizon_60_ega_zone_b_pct,fold1/val_horizon_60_ega_zone_b_count,fold1/val_horizon_60_ega_zone_c_pct,fold1/val_horizon_60_ega_zone_c_count,fold1/val_horizon_60_ega_zone_d_pct,fold1/val_horizon_60_ega_zone_d_count,fold1/val_horizon_60_ega_zone_e_pct,fold1/val_horizon_60_ega_zone_e_count,fold1/diag_horizon_curriculum_progress,fold1/diag_loss_horizon_weight_0,fold1/diag_loss_horizon_weight_1,fold1/diag_loss_horizon_weight_2,fold1/diag_loss_horizon_weight_3
1,0.2521472257109694,11.873549461364746,18.30790138244629,9.060880661010742,9.060880661010742,0.3530791997909546,0.6268030405044556,87.99149322509766,18619.0,12.008506774902344,2541.0,0.0,0.0,0.0,0.0,0.0,0.0,6.887818336486816,10.444050788879395,5.345498561859131,5.345498561859131,0.7894248366355896,0.890213131904602,96.88090515136719,5125.0,3.1190927028656006,165.0,0.0,0.0,0.0,0.0,0.0,0.0,11.30519962310791,17.11899757385254,8.679656028747559,8.679656028747559,0.4342651963233948,0.6746315360069275,89.67864227294922,4744.0,10.32136058807373,546.0,0.0,0.0,0.0,0.0,0.0,0.0,13.927850723266602,20.819721221923828,10.505719184875488,10.505719184875488,0.1634674072265625,0.5076152682304382,84.38563537597656,4464.0,15.61436653137207,826.0,0.0,0.0,0.0,0.0,0.0,0.0,15.373330116271973,22.474828720092773,11.712651252746582,11.712651252746582,0.02539050579071045,0.39741501212120056,81.02079772949219,4286.0,18.979206085205078,1004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.28333333134651184,0.21666665375232697,0.1666666716337204
2,0.2285336100499241,11.13815689086914,17.537296295166016,8.496820449829102,8.496820449829102,0.4063926935195923,0.6689174175262451,89.10208129882812,18854.0,10.897920608520508,2306.0,0.0,0.0,0.0,0.0,0.0,0.0,5.502663612365723,8.389692306518555,4.301724433898926,4.301724433898926,0.864118218421936,0.9306207895278931,98.43099975585938,5207.0,1.5689979791641235,83.0,0.0,0.0,0.0,0.0,0.0,0.0,10.462270736694336,16.0626220703125,8.011659622192383,8.011659622192383,0.5019314289093018,0.7260183095932007,90.62381744384766,4794.0,9.376181602478027,496.0,0.0,0.0,0.0,0.0,0.0,0.0,13.478621482849121,20.21900177001953,10.227174758911133,10.227174758911133,0.21104460954666138,0.5410802960395813,85.40642547607422,4518.0,14.593572616577148,772.0,0.0,0.0,0.0,0.0,0.0,0.0,15.109070777893066,22.204147338867188,11.446721076965332,11.446721076965332,0.048725128173828125,0.423348993062973,81.94706726074219,4335.0,18.052928924560547,955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.3245614171028137,0.2788847088813782,0.21998745203018188,0.17656642198562622
3,0.22807732793938396,10.949710845947266,17.288637161254883,8.372634887695312,8.372634887695312,0.42310672998428345,0.6804124712944031,89.42816925048828,18923.0,10.571833610534668,2237.0,0.0,0.0,0.0,0.0,0.0,0.0,5.191727638244629,7.828891277313232,4.079577445983887,4.079577445983887,0.8816768527030945,0.9397188425064087,98.88468933105469,5231.0,1.115311861038208,59.0,0.0,0.0,0.0,0.0,0.0,0.0,10.247559547424316,15.712943077087402,7.865215301513672,7.865215301513672,0.5233809947967529,0.7406361699104309,91.09640502929688,4819.0,8.90359115600586,471.0,0.0,0.0,0.0,0.0,0.0,0.0,13.342726707458496,20.005733489990234,10.151239395141602,10.151239395141602,0.22760045528411865,0.5524001717567444,85.68997955322266,4533.0,14.310018539428711,757.0,0.0,0.0,0.0,0.0,0.0,0.0,15.016828536987305,22.07193374633789,11.394506454467773,11.394506454467773,0.06001996994018555,0.4312936067581177,82.04158782958984,4340.0,17.958412170410156,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.31578949093818665,0.2744360864162445,0.223308265209198,0.18646617233753204
4,0.22792041789187475,10.910317420959473,17.22185516357422,8.34835433959961,8.34835433959961,0.4275549054145813,0.6839578747749329,89.41398620605469,18920.0,10.58601188659668,2240.0,0.0,0.0,0.0,0.0,0.0,0.0,5.103360652923584,7.63668155670166,4.014276027679443,4.014276027679443,0.8874154686927795,0.9427995085716248,98.97920227050781,5236.0,1.0207940340042114,54.0,0.0,0.0,0.0,0.0,0.0,0.0,10.199710845947266,15.594718933105469,7.839809894561768,7.839809894561768,0.5305261611938477,0.7457241415977478,90.86956024169922,4807.0,9.1304349899292,483.0,0.0,0.0,0.0,0.0,0.0,0.0,13.324458122253418,19.962020874023438,10.143348693847656,10.143348693847656,0.23097223043441772,0.556049644947052,85.74669647216797,4536.0,14.253308296203613,754.0,0.0,0.0,0.0,0.0,0.0,0.0,15.013738632202148,22.053861618041992,11.39598274230957,11.39598274230957,0.06155872344970703,0.432585209608078,82.06049346923828,4341.0,17.93950843811035,949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.30701756477355957,0.26998746395111084,0.22662906348705292,0.19636592268943787
5,0.22643417591633744,10.86377239227295,17.123537063598633,8.324728965759277,8.324728965759277,0.4340723752975464,0.6863160729408264,89.54158782958984,18947.0,10.458412170410156,2213.0,0.0,0.0,0.0,0.0,0.0,0.0,5.047770023345947,7.504983425140381,3.9763505458831787,3.9763505458831787,0.8912651538848877,0.9447322487831116,99.05481719970703,5240.0,0.9451796412467957,50.0,0.0,0.0,0.0,0.0,0.0,0.0,10.13949203491211,15.44672679901123,7.8110032081604,7.8110032081604,0.5393944382667542,0.7495228052139282,91.13421630859375,4821.0,8.865784645080566,469.0,0.0,0.0,0.0,0.0,0.0,0.0,13.280248641967773,19.86003875732422,10.127469062805176,10.127469062805176,0.23880982398986816,0.5579200983047485,85.86011505126953,4542.0,14.139885902404785,748.0,0.0,0.0,0.0,0.0,0.0,0.0,14.987581253051758,21.988967895507812,11.3840970993042,11.3840970993042,0.06707322597503662,0.43304961919784546,82.11720275878906,4344.0,17.882797241210938,946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2982456088066101,0.2655388414859772,0.22994986176490784,0.2062656730413437
6,0.22722705509329086,10.826303482055664,17.069257736206055,8.300082206726074,8.300082206726074,0.4376545548439026,0.6886506676673889,89.54158782958984,18947.0,10.458412170410156,2213.0,0.0,0.0,0.0,0.0,0.0,0.0,4.988641738891602,7.401392459869385,3.934566020965576,3.934566020965576,0.8942461609840393,0.9462742805480957,99.13043212890625,5244.0,0.8695651888847351,46.0,0.0,0.0,0.0,0.0,0.0,0.0,10.104569435119629,15.371291160583496,7.790874004364014,7.790874004364014,0.5438822507858276,0.752143383026123,91.34215545654297,4832.0,8.657845497131348,458.0,0.0,0.0,0.0,0.0,0.0,0.0,13.25295352935791,19.806514739990234,10.117197036743164,10.117197036743164,0.24290722608566284,0.5604612827301025,85.78450012207031,4538.0,14.215500831604004,752.0,0.0,0.0,0.0,0.0,0.0,0.0,14.959044456481934,21.95638656616211,11.357697486877441,11.357697486877441,0.06983596086502075,0.43559738993644714,81.90926361083984,4333.0,18.090736389160156,957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.28947368264198303,0.2610902190208435,0.23327067494392395,0.2161654233932495
7,0.22918627785035442,10.803234100341797,17.038522720336914,8.2787504196167,8.2787504196167,0.43967777490615845,0.6902725100517273,89.56049346923828,18951.0,10.439508438110352,2209.0,0.0,0.0,0.0,0.0,0.0,0.0,4.969169616699219,7.337141513824463,3.9186060428619385,3.9186060428619385,0.8960742950439453,0.9472897052764893,99.13043212890625,5244.0,0.8695651888847351,46.0,0.0,0.0,0.0,0.0,0.0,0.0,10.074688911437988,15.325106620788574,7.765212535858154,7.765212535858154,0.5466190576553345,0.7541293501853943,91.37996673583984,4834.0,8.620038032531738,456.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2279052734375,19.779695510864258,10.090863227844238,10.090863227844238,0.2449561357498169,0.5628421902656555,85.727783203125,4535.0,14.272211074829102,755.0,0.0,0.0,0.0,0.0,0.0,0.0,14.941171646118164,21.938919067382812,11.340317726135254,11.340317726135254,0.07131528854370117,0.43775928020477295,82.00377655029297,4338.0,17.996219635009766,952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.28070175647735596,0.25664159655570984,0.23659147322177887,0.22606515884399414
8,0.23104451141336665,10.770467758178711,16.986713409423828,8.26230525970459,8.26230525970459,0.4430801272392273,0.6927312612533569,89.59357452392578,18958.0,10.406427383422852,2202.0,0.0,0.0,0.0,0.0,0.0,0.0,4.911880970001221,7.2621893882751465,3.8830313682556152,3.8830313682556152,0.8981867432594299,0.9484904408454895,99.13043212890625,5244.0,0.8695651888847351,46.0,0.0,0.0,0.0,0.0,0.0,0.0,10.033425331115723,15.24705982208252,7.740970134735107,7.740970134735107,0.5512251853942871,0.7571709156036377,91.47447967529297,4839.0,8.525519371032715,451.0,0.0,0.0,0.0,0.0,0.0,0.0,13.206393241882324,19.72834014892578,10.083208084106445,10.083208084106445,0.24887174367904663,0.5652613043785095,85.68997955322266,4533.0,14.310018539428711,757.0,0.0,0.0,0.0,0.0,0.0,0.0,14.930167198181152,21.90374755859375,11.342016220092773,11.342016220092773,0.07429057359695435,0.43919646739959717,82.07939147949219,4342.0,17.920604705810547,948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2719298303127289,0.25219297409057617,0.2399122714996338,0.23596492409706116
9,0.23290335042458998,10.786469459533691,17.011499404907227,8.270094871520996,8.270094871520996,0.4414536952972412,0.691552996635437,89.5557632446289,18950.0,10.444233894348145,2210.0,0.0,0.0,0.0,0.0,0.0,0.0,4.924705982208252,7.283071994781494,3.886932849884033,3.886932849884033,0.8976003527641296,0.9482295513153076,99.18714904785156,5247.0,0.8128544092178345,43.0,0.0,0.0,0.0,0.0,0.0,0.0,10.055100440979004,15.276716232299805,7.75608491897583,7.75608491897583,0.5494776964187622,0.755776047706604,91.41777038574219,4836.0,8.582230567932129,454.0,0.0,0.0,0.0,0.0,0.0,0.0,13.225330352783203,19.749879837036133,10.094890594482422,10.094890594482422,0.24723070859909058,0.5634946823120117,85.61436462402344,4529.0,14.38563346862793,761.0,0.0,0.0,0.0,0.0,0.0,0.0,14.940743446350098,21.93366050720215,11.342473030090332,11.342473030090332,0.07176035642623901,0.43787866830825806,82.00377655029297,4338.0,17.996219635009766,952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.2631579041481018,0.2477443516254425,0.2432330846786499,0.24586467444896698
10,0.2338569121107043,10.771665573120117,16.9923095703125,8.264118194580078,8.264118194580078,0.44271308183670044,0.6921818852424622,89.54158782958984,18947.0,10.458412170410156,2213.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8973822593688965,7.23370885848999,3.866572618484497,3.866572618484497,0.8989837169647217,0.9488539695739746,99.20604705810547,5248.0,0.7939507961273193,42.0,0.0,0.0,0.0,0.0,0.0,0.0,10.05325984954834,15.26138687133789,7.7614521980285645,7.7614521980285645,0.5503813624382019,0.7562634348869324,91.3610610961914,4833.0,8.638941764831543,457.0,0.0,0.0,0.0,0.0,0.0,0.0,13.20895004272461,19.737091064453125,10.08932113647461,10.08932113647461,0.2482052445411682,0.5639402270317078,85.67108154296875,4532.0,14.328922271728516,758.0,0.0,0.0,0.0,0.0,0.0,0.0,14.927067756652832,21.912673950195312,11.339127540588379,11.339127540588379,0.07353591918945312,0.4382210075855255,81.92816162109375,4334.0,18.07183265686035,956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,0.25438597798347473,0.24329572916030884,0.24655388295650482,0.2557644248008728
