step,fold1/train_loss,fold1/val_mae,fold1/val_rmse,fold1/val_mard,fold1/val_r2,fold1/val_pearson,fold1/val_ega_zone_a_pct,fold1/val_ega_zone_a_count,fold1/val_ega_zone_b_pct,fold1/val_ega_zone_b_count,fold1/val_ega_zone_c_pct,fold1/val_ega_zone_c_count,fold1/val_ega_zone_d_pct,fold1/val_ega_zone_d_count,fold1/val_ega_zone_e_pct,fold1/val_ega_zone_e_count,fold1/val_horizon_15_mae,fold1/val_horizon_15_rmse,fold1/val_horizon_15_mard,fold1/val_horizon_15_r2,fold1/val_horizon_15_pearson,fold1/val_horizon_15_ega_zone_a_pct,fold1/val_horizon_15_ega_zone_a_count,fold1/val_horizon_15_ega_zone_b_pct,fold1/val_horizon_15_ega_zone_b_count,fold1/val_horizon_15_ega_zone_c_pct,fold1/val_horizon_15_ega_zone_c_count,fold1/val_horizon_15_ega_zone_d_pct,fold1/val_horizon_15_ega_zone_d_count,fold1/val_horizon_15_ega_zone_e_pct,fold1/val_horizon_15_ega_zone_e_count,fold1/val_horizon_30_mae,fold1/val_horizon_30_rmse,fold1/val_horizon_30_mard,fold1/val_horizon_30_r2,fold1/val_horizon_30_pearson,fold1/val_horizon_30_ega_zone_a_pct,fold1/val_horizon_30_ega_zone_a_count,fold1/val_horizon_30_ega_zone_b_pct,fold1/val_horizon_30_ega_zone_b_count,fold1/val_horizon_30_ega_zone_c_pct,fold1/val_horizon_30_ega_zone_c_count,fold1/val_horizon_30_ega_zone_d_pct,fold1/val_horizon_30_ega_zone_d_count,fold1/val_horizon_30_ega_zone_e_pct,fold1/val_horizon_30_ega_zone_e_count,fold1/val_horizon_45_mae,fold1/val_horizon_45_rmse,fold1/val_horizon_45_mard,fold1/val_horizon_45_r2,fold1/val_horizon_45_pearson,fold1/val_horizon_45_ega_zone_a_pct,fold1/val_horizon_45_ega_zone_a_count,fold1/val_horizon_45_ega_zone_b_pct,fold1/val_horizon_45_ega_zone_b_count,fold1/val_horizon_45_ega_zone_c_pct,fold1/val_horizon_45_ega_zone_c_count,fold1/val_horizon_45_ega_zone_d_pct,fold1/val_horizon_45_ega_zone_d_count,fold1/val_horizon_45_ega_zone_e_pct,fold1/val_horizon_45_ega_zone_e_count,fold1/val_horizon_60_mae,fold1/val_horizon_60_rmse,fold1/val_horizon_60_mard,fold1/val_horizon_60_r2,fold1/val_horizon_60_pearson,fold1/val_horizon_60_ega_zone_a_pct,fold1/val_horizon_60_ega_zone_a_count,fold1/val_horizon_60_ega_zone_b_pct,fold1/val_horizon_60_ega_zone_b_count,fold1/val_horizon_60_ega_zone_c_pct,fold1/val_horizon_60_ega_zone_c_count,fold1/val_horizon_60_ega_zone_d_pct,fold1/val_horizon_60_ega_zone_d_count,fold1/val_horizon_60_ega_zone_e_pct,fold1/val_horizon_60_ega_zone_e_count,fold1/diag_horizon_query_similarity,fold1/diag_horizon_progressive_gate,fold1/diag_horizon_attention_similarity,fold1/diag_horizon_attention_entropy,fold1/diag_horizon_curriculum_progress,fold1/diag_loss_horizon_weight_0,fold1/diag_loss_horizon_weight_1,fold1/diag_loss_horizon_weight_2,fold1/diag_loss_horizon_weight_3
1,0.25094068732739305,12.505195617675781,19.38623046875,9.547673225402832,0.2746281027793884,0.6146407723426819,86.94234466552734,18397.0,13.052929878234863,2762.0,0.0047258976846933365,1.0,0.0,0.0,0.0,0.0,7.08733606338501,10.770194053649902,5.469761371612549,0.7760679125785828,0.8844780325889587,97.10774993896484,5137.0,2.892249345779419,153.0,0.0,0.0,0.0,0.0,0.0,0.0,11.829876899719238,17.960201263427734,9.039709091186523,0.37730032205581665,0.6700035929679871,87.95841217041016,4653.0,12.041587829589844,637.0,0.0,0.0,0.0,0.0,0.0,0.0,14.775505065917969,22.0345401763916,11.225544929504395,0.06299704313278198,0.49805229902267456,82.60869598388672,4370.0,17.39130401611328,920.0,0.0,0.0,0.0,0.0,0.0,0.0,16.328065872192383,24.066925048828125,12.455678939819336,-0.11758112907409668,0.39284631609916687,80.09451293945312,4237.0,19.886579513549805,1052.0,0.018903590738773346,1.0,0.0,0.0,0.0,0.0,0.043811146169900894,0.11920291930437088,0.9999014735221863,0.9999760985374451,0.0,0.3333333432674408,0.28333333134651184,0.21666665375232697,0.1666666716337204
2,0.24692238504483657,12.477333068847656,19.173368453979492,9.480807304382324,0.2904699444770813,0.6152253746986389,87.66068267822266,18549.0,12.339319229125977,2611.0,0.0,0.0,0.0,0.0,0.0,0.0,7.129229545593262,10.717615127563477,5.47890567779541,0.7782490253448486,0.8861177563667297,97.29678344726562,5147.0,2.703213691711426,143.0,0.0,0.0,0.0,0.0,0.0,0.0,11.815662384033203,17.777761459350586,8.993600845336914,0.3898867964744568,0.6713427901268005,88.73345947265625,4694.0,11.26654052734375,596.0,0.0,0.0,0.0,0.0,0.0,0.0,14.672325134277344,21.72247886657715,11.11386489868164,0.08934932947158813,0.4968571364879608,83.57278442382812,4421.0,16.427221298217773,869.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2921199798584,23.82624626159668,12.336853981018066,-0.09534025192260742,0.38200297951698303,81.0396957397461,4287.0,18.960302352905273,1003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05164257809519768,0.11920291930437088,0.9986300468444824,0.9994155764579773,0.07142857142857142,0.3245614171028137,0.2788847088813782,0.21998745203018188,0.17656642198562622
3,0.24680282046257357,12.464308738708496,19.11272430419922,9.45240592956543,0.29495126008987427,0.6170094609260559,87.8119125366211,18581.0,12.188090324401855,2579.0,0.0,0.0,0.0,0.0,0.0,0.0,7.132777214050293,10.714292526245117,5.476036071777344,0.7783864736557007,0.8865200281143188,97.2211685180664,5143.0,2.7788279056549072,147.0,0.0,0.0,0.0,0.0,0.0,0.0,11.798493385314941,17.708433151245117,8.967312812805176,0.3946360945701599,0.673337996006012,89.16824340820312,4717.0,10.831758499145508,573.0,0.0,0.0,0.0,0.0,0.0,0.0,14.631959915161133,21.62958526611328,11.061469078063965,0.09712135791778564,0.49929335713386536,83.53497314453125,4419.0,16.46502685546875,871.0,0.0,0.0,0.0,0.0,0.0,0.0,16.294004440307617,23.7689151763916,12.30480670928955,-0.09007561206817627,0.3819088041782379,81.32325744628906,4302.0,18.676748275756836,988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06261377781629562,0.11920291930437088,0.9950559735298157,0.996700644493103,0.14285714285714285,0.31578949093818665,0.2744360864162445,0.223308265209198,0.18646617233753204
4,0.2450216200322369,12.437018394470215,18.980384826660156,9.411195755004883,0.30468112230300903,0.6201770305633545,87.92533111572266,18605.0,12.07466983795166,2555.0,0.0,0.0,0.0,0.0,0.0,0.0,7.086249351501465,10.58823299407959,5.440364837646484,0.7835705876350403,0.8895496129989624,97.41020965576172,5153.0,2.589792013168335,137.0,0.0,0.0,0.0,0.0,0.0,0.0,11.752403259277344,17.56294822692871,8.919478416442871,0.40454208850860596,0.6769903302192688,89.30056762695312,4724.0,10.699433326721191,566.0,0.0,0.0,0.0,0.0,0.0,0.0,14.613210678100586,21.485862731933594,11.017136573791504,0.10908013582229614,0.5013719797134399,83.96975708007812,4442.0,16.03024673461914,848.0,0.0,0.0,0.0,0.0,0.0,0.0,16.29621124267578,23.639162063598633,12.267807960510254,-0.07820665836334229,0.3816779553890228,81.02079772949219,4286.0,18.979206085205078,1004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07353410124778748,0.11920291930437088,0.9883666634559631,0.9908043146133423,0.21428571428571427,0.30701756477355957,0.26998746395111084,0.22662906348705292,0.19636592268943787
5,0.24265736318214345,12.19276237487793,18.635787963867188,9.233512878417969,0.32969963550567627,0.6287567615509033,88.14744567871094,18652.0,11.85255241394043,2508.0,0.0,0.0,0.0,0.0,0.0,0.0,6.820796966552734,10.230788230895996,5.246588230133057,0.7979366779327393,0.8966120481491089,97.6181411743164,5164.0,2.381852626800537,126.0,0.0,0.0,0.0,0.0,0.0,0.0,11.510774612426758,17.23076629638672,8.740861892700195,0.4268537759780884,0.6855186820030212,89.69754028320312,4745.0,10.302456855773926,545.0,0.0,0.0,0.0,0.0,0.0,0.0,14.373398780822754,21.123991012573242,10.84974193572998,0.13883787393569946,0.507744550704956,84.34782409667969,4462.0,15.65217399597168,828.0,0.0,0.0,0.0,0.0,0.0,0.0,16.066083908081055,23.267553329467773,12.096857070922852,-0.04457414150238037,0.3877009451389313,80.92627716064453,4281.0,19.0737247467041,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09750810265541077,0.11920291930437088,0.9896318316459656,0.9815346598625183,0.2857142857142857,0.2982456088066101,0.2655388414859772,0.22994986176490784,0.2062656730413437
6,0.23714920828009134,11.974366188049316,18.24049949645996,9.060233116149902,0.3578338623046875,0.6454012989997864,88.72400665283203,18774.0,11.275992393493652,2386.0,0.0,0.0,0.0,0.0,0.0,0.0,6.385826587677002,9.41528606414795,4.935361385345459,0.8288660049438477,0.9142856597900391,98.16635131835938,5193.0,1.833648443222046,97.0,0.0,0.0,0.0,0.0,0.0,0.0,11.252625465393066,16.720829010009766,8.547737121582031,0.4602757692337036,0.7062592506408691,90.62381744384766,4794.0,9.376181602478027,496.0,0.0,0.0,0.0,0.0,0.0,0.0,14.24138069152832,20.79620361328125,10.730123519897461,0.16535627841949463,0.5196161270141602,84.66918182373047,4479.0,15.330812454223633,811.0,0.0,0.0,0.0,0.0,0.0,0.0,16.01763343811035,23.024930953979492,12.0277099609375,-0.0229032039642334,0.3927375376224518,81.43667602539062,4308.0,18.56332778930664,982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13258741796016693,0.11920291930437088,0.9918723702430725,0.9513096809387207,0.35714285714285715,0.28947368264198303,0.2610902190208435,0.23327067494392395,0.2161654233932495
7,0.2324326385234219,11.516037940979004,17.745609283447266,8.741549491882324,0.39220690727233887,0.6655336618423462,89.04537200927734,18842.0,10.954630851745605,2318.0,0.0,0.0,0.0,0.0,0.0,0.0,5.619984149932861,8.3028564453125,4.409501552581787,0.8669164776802063,0.9319732785224915,98.82797241210938,5228.0,1.1720227003097534,62.0,0.0,0.0,0.0,0.0,0.0,0.0,10.701082229614258,15.945865631103516,8.190190315246582,0.5091458559036255,0.7330343723297119,91.1720199584961,4823.0,8.827977180480957,467.0,0.0,0.0,0.0,0.0,0.0,0.0,13.919134140014648,20.40801239013672,10.501296043395996,0.19622516632080078,0.5375033617019653,84.87712860107422,4490.0,15.12287425994873,800.0,0.0,0.0,0.0,0.0,0.0,0.0,15.823952674865723,22.802005767822266,11.865205764770508,-0.0031915903091430664,0.403026282787323,81.3043441772461,4301.0,18.69565200805664,989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15580211579799652,0.11920291930437088,0.9909774661064148,0.9168659448623657,0.42857142857142855,0.28070175647735596,0.25664159655570984,0.23659147322177887,0.22606515884399414
8,0.23006994530661476,11.453539848327637,17.670188903808594,8.710075378417969,0.3973621726036072,0.668316662311554,88.96975708007812,18826.0,11.030245780944824,2334.0,0.0,0.0,0.0,0.0,0.0,0.0,5.476945400238037,7.995613098144531,4.312495708465576,0.8765836358070374,0.9368337392807007,98.9603042602539,5235.0,1.039697527885437,55.0,0.0,0.0,0.0,0.0,0.0,0.0,10.61400032043457,15.79448127746582,8.136959075927734,0.5184215903282166,0.7381265163421631,91.11531066894531,4820.0,8.884687423706055,470.0,0.0,0.0,0.0,0.0,0.0,0.0,13.876354217529297,20.349641799926758,10.4904203414917,0.20081639289855957,0.5403629541397095,84.72589874267578,4482.0,15.274101257324219,808.0,0.0,0.0,0.0,0.0,0.0,0.0,15.846861839294434,22.835037231445312,11.900423049926758,-0.006100296974182129,0.4013040065765381,81.07750701904297,4289.0,18.922496795654297,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16525578498840332,0.11920291930437088,0.9878661632537842,0.9120522737503052,0.5,0.2719298303127289,0.25219297409057617,0.2399122714996338,0.23596492409706116
9,0.2293117270432804,11.337549209594727,17.568023681640625,8.63037109375,0.40431076288223267,0.6730117201805115,89.24858093261719,18885.0,10.751418113708496,2275.0,0.0,0.0,0.0,0.0,0.0,0.0,5.365077972412109,7.790025234222412,4.243933200836182,0.8828487396240234,0.9399564266204834,99.11153411865234,5243.0,0.8884688019752502,47.0,0.0,0.0,0.0,0.0,0.0,0.0,10.479995727539062,15.61266803741455,8.04947566986084,0.5294448733329773,0.7447057366371155,91.2287368774414,4826.0,8.77126693725586,464.0,0.0,0.0,0.0,0.0,0.0,0.0,13.779662132263184,20.31052589416504,10.41994571685791,0.20388591289520264,0.5434427857398987,85.02835845947266,4498.0,14.97164535522461,792.0,0.0,0.0,0.0,0.0,0.0,0.0,15.725459098815918,22.7504825592041,11.808128356933594,0.0013367533683776855,0.40748804807662964,81.6257095336914,4318.0,18.374290466308594,972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16948796808719635,0.11920291930437088,0.9810065627098083,0.9037115573883057,0.5714285714285714,0.2631579041481018,0.2477443516254425,0.2432330846786499,0.24586467444896698
10,0.22894774006494564,11.342338562011719,17.530786514282227,8.630059242248535,0.40683335065841675,0.6754394769668579,89.29583740234375,18895.0,10.704158782958984,2265.0,0.0,0.0,0.0,0.0,0.0,0.0,5.347443580627441,7.729710578918457,4.235708713531494,0.8846558332443237,0.9409471750259399,99.07372283935547,5241.0,0.9262760281562805,49.0,0.0,0.0,0.0,0.0,0.0,0.0,10.474294662475586,15.540811538696289,8.051015853881836,0.5337663292884827,0.747234046459198,91.41777038574219,4836.0,8.582230567932129,454.0,0.0,0.0,0.0,0.0,0.0,0.0,13.779610633850098,20.236862182617188,10.41338062286377,0.20965009927749634,0.547426700592041,85.21739196777344,4508.0,14.782608985900879,782.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7680082321167,22.77098846435547,11.820130348205566,-0.00046443939208984375,0.4079129695892334,81.47447967529297,4310.0,18.52552032470703,980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17153365910053253,0.11920291930437088,0.9778943657875061,0.902240514755249,0.6428571428571429,0.25438597798347473,0.24329572916030884,0.24655388295650482,0.2557644248008728
