step,fold1/train_loss,fold1/val_mae,fold1/val_rmse,fold1/val_mard,fold1/val_r2,fold1/val_pearson,fold1/val_ega_zone_a_pct,fold1/val_ega_zone_a_count,fold1/val_ega_zone_b_pct,fold1/val_ega_zone_b_count,fold1/val_ega_zone_c_pct,fold1/val_ega_zone_c_count,fold1/val_ega_zone_d_pct,fold1/val_ega_zone_d_count,fold1/val_ega_zone_e_pct,fold1/val_ega_zone_e_count,fold1/val_horizon_15_mae,fold1/val_horizon_15_rmse,fold1/val_horizon_15_mard,fold1/val_horizon_15_r2,fold1/val_horizon_15_pearson,fold1/val_horizon_15_ega_zone_a_pct,fold1/val_horizon_15_ega_zone_a_count,fold1/val_horizon_15_ega_zone_b_pct,fold1/val_horizon_15_ega_zone_b_count,fold1/val_horizon_15_ega_zone_c_pct,fold1/val_horizon_15_ega_zone_c_count,fold1/val_horizon_15_ega_zone_d_pct,fold1/val_horizon_15_ega_zone_d_count,fold1/val_horizon_15_ega_zone_e_pct,fold1/val_horizon_15_ega_zone_e_count,fold1/val_horizon_30_mae,fold1/val_horizon_30_rmse,fold1/val_horizon_30_mard,fold1/val_horizon_30_r2,fold1/val_horizon_30_pearson,fold1/val_horizon_30_ega_zone_a_pct,fold1/val_horizon_30_ega_zone_a_count,fold1/val_horizon_30_ega_zone_b_pct,fold1/val_horizon_30_ega_zone_b_count,fold1/val_horizon_30_ega_zone_c_pct,fold1/val_horizon_30_ega_zone_c_count,fold1/val_horizon_30_ega_zone_d_pct,fold1/val_horizon_30_ega_zone_d_count,fold1/val_horizon_30_ega_zone_e_pct,fold1/val_horizon_30_ega_zone_e_count,fold1/val_horizon_45_mae,fold1/val_horizon_45_rmse,fold1/val_horizon_45_mard,fold1/val_horizon_45_r2,fold1/val_horizon_45_pearson,fold1/val_horizon_45_ega_zone_a_pct,fold1/val_horizon_45_ega_zone_a_count,fold1/val_horizon_45_ega_zone_b_pct,fold1/val_horizon_45_ega_zone_b_count,fold1/val_horizon_45_ega_zone_c_pct,fold1/val_horizon_45_ega_zone_c_count,fold1/val_horizon_45_ega_zone_d_pct,fold1/val_horizon_45_ega_zone_d_count,fold1/val_horizon_45_ega_zone_e_pct,fold1/val_horizon_45_ega_zone_e_count,fold1/val_horizon_60_mae,fold1/val_horizon_60_rmse,fold1/val_horizon_60_mard,fold1/val_horizon_60_r2,fold1/val_horizon_60_pearson,fold1/val_horizon_60_ega_zone_a_pct,fold1/val_horizon_60_ega_zone_a_count,fold1/val_horizon_60_ega_zone_b_pct,fold1/val_horizon_60_ega_zone_b_count,fold1/val_horizon_60_ega_zone_c_pct,fold1/val_horizon_60_ega_zone_c_count,fold1/val_horizon_60_ega_zone_d_pct,fold1/val_horizon_60_ega_zone_d_count,fold1/val_horizon_60_ega_zone_e_pct,fold1/val_horizon_60_ega_zone_e_count,fold1/diag_graph_prior_weight,fold1/diag_graph_residual_mean,fold1/diag_horizon_query_similarity,fold1/diag_horizon_progressive_gate,fold1/diag_horizon_attention_similarity,fold1/diag_horizon_attention_entropy,fold1/diag_horizon_curriculum_progress,fold1/diag_loss_horizon_weight_0,fold1/diag_loss_horizon_weight_1,fold1/diag_loss_horizon_weight_2,fold1/diag_loss_horizon_weight_3
1,0.250211688172921,12.5275239944458,19.433238983154297,9.563730239868164,0.2711060643196106,0.6135472059249878,86.98960876464844,18407.0,13.000946044921875,2751.0,0.009451795369386673,2.0,0.0,0.0,0.0,0.0,7.108553886413574,10.800707817077637,5.483537673950195,0.774797260761261,0.8840833306312561,97.08885192871094,5136.0,2.9111530780792236,154.0,0.0,0.0,0.0,0.0,0.0,0.0,11.88150691986084,18.024194717407227,9.077306747436523,0.37285494804382324,0.6683362126350403,88.1096420288086,4661.0,11.890358924865723,629.0,0.0,0.0,0.0,0.0,0.0,0.0,14.78850269317627,22.07041358947754,11.245285987854004,0.059943556785583496,0.4962693750858307,82.87334442138672,4384.0,17.12665367126465,906.0,0.0,0.0,0.0,0.0,0.0,0.0,16.331531524658203,24.12411880493164,12.448784828186035,-0.12289917469024658,0.39293843507766724,79.88658142089844,4226.0,20.07561492919922,1062.0,0.03780718147754669,2.0,0.0,0.0,0.0,0.0,1.0010710954666138,0.011797179467976093,0.0415998250246048,0.11920291930437088,0.9999297261238098,0.9999794363975525,0.0,0.3333333432674408,0.28333333134651184,0.21666665375232697,0.1666666716337204
2,0.24413584678527125,12.345867156982422,19.072221755981445,9.413102149963379,0.29793620109558105,0.6178048849105835,87.7977294921875,18578.0,12.20226764678955,2582.0,0.0,0.0,0.0,0.0,0.0,0.0,7.084498882293701,10.7210111618042,5.4564080238342285,0.7781084775924683,0.8854143619537354,97.24008178710938,5144.0,2.7599244117736816,146.0,0.0,0.0,0.0,0.0,0.0,0.0,11.702278137207031,17.700695037841797,8.93431568145752,0.39516502618789673,0.6721226572990417,89.2060546875,4719.0,10.793951034545898,571.0,0.0,0.0,0.0,0.0,0.0,0.0,14.497296333312988,21.609704971313477,11.01757526397705,0.09878039360046387,0.5012450218200684,83.85633087158203,4436.0,16.143667221069336,854.0,0.0,0.0,0.0,0.0,0.0,0.0,16.099395751953125,23.659343719482422,12.244107246398926,-0.0800483226776123,0.39057308435440063,80.88846588134766,4279.0,19.111530303955078,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994795918464661,0.011418266221880913,0.04637410119175911,0.11920291930437088,0.9987327456474304,0.9993144869804382,0.07142857142857142,0.3245614171028137,0.2788847088813782,0.21998745203018188,0.17656642198562622
3,0.24242586735179328,12.35020923614502,18.94089698791504,9.384106636047363,0.3075712323188782,0.6199406385421753,88.095458984375,18641.0,11.904537200927734,2519.0,0.0,0.0,0.0,0.0,0.0,0.0,7.102055549621582,10.699796676635742,5.463623046875,0.7789857387542725,0.8863236904144287,97.18336486816406,5141.0,2.8166351318359375,149.0,0.0,0.0,0.0,0.0,0.0,0.0,11.732254981994629,17.620609283447266,8.931084632873535,0.40062570571899414,0.6736733317375183,89.45179748535156,4732.0,10.54820442199707,558.0,0.0,0.0,0.0,0.0,0.0,0.0,14.473090171813965,21.419498443603516,10.96088981628418,0.11457538604736328,0.5017282366752625,84.34782409667969,4462.0,15.65217399597168,828.0,0.0,0.0,0.0,0.0,0.0,0.0,16.093433380126953,23.47901153564453,12.180829048156738,-0.06364691257476807,0.3871718645095825,81.39886474609375,4306.0,18.60113525390625,984.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0041316747665405,0.011090248823165894,0.060776252299547195,0.11920291930437088,0.9926817417144775,0.995781660079956,0.14285714285714285,0.31578949093818665,0.2744360864162445,0.223308265209198,0.18646617233753204
4,0.23842216520401066,12.26707935333252,18.772310256958008,9.307890892028809,0.3198426365852356,0.624728262424469,88.11909484863281,18646.0,11.88090705871582,2514.0,0.0,0.0,0.0,0.0,0.0,0.0,7.023186206817627,10.54599666595459,5.40331506729126,0.7852938175201416,0.8900608420372009,97.3345947265625,5149.0,2.6654064655303955,141.0,0.0,0.0,0.0,0.0,0.0,0.0,11.624222755432129,17.393882751464844,8.840422630310059,0.4159509539604187,0.6804155707359314,89.56521606445312,4738.0,10.434782028198242,552.0,0.0,0.0,0.0,0.0,0.0,0.0,14.394940376281738,21.22875213623047,10.883359909057617,0.13027507066726685,0.5064141750335693,84.4234390258789,4466.0,15.576559066772461,824.0,0.0,0.0,0.0,0.0,0.0,0.0,16.025964736938477,23.348949432373047,12.10446834564209,-0.05189526081085205,0.3880709111690521,81.15312194824219,4293.0,18.846881866455078,997.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0042399168014526,0.010891139507293701,0.09523452073335648,0.11920291930437088,0.9881203770637512,0.9890440106391907,0.21428571428571427,0.30701756477355957,0.26998746395111084,0.22662906348705292,0.19636592268943787
5,0.2348026047654306,12.316598892211914,18.7156925201416,9.31964111328125,0.32393914461135864,0.627651035785675,87.98677062988281,18618.0,12.013233184814453,2542.0,0.0,0.0,0.0,0.0,0.0,0.0,6.929044246673584,10.314387321472168,5.326920986175537,0.7946209907531738,0.8965290188789368,97.5992431640625,5163.0,2.4007561206817627,127.0,0.0,0.0,0.0,0.0,0.0,0.0,11.630327224731445,17.248159408569336,8.828529357910156,0.42569607496261597,0.6867408156394958,89.56521606445312,4738.0,10.434782028198242,552.0,0.0,0.0,0.0,0.0,0.0,0.0,14.506590843200684,21.205585479736328,10.939691543579102,0.13217222690582275,0.505595862865448,83.96975708007812,4442.0,16.03024673461914,848.0,0.0,0.0,0.0,0.0,0.0,0.0,16.200437545776367,23.399703979492188,12.183423042297363,-0.056473493576049805,0.38333651423454285,80.81285095214844,4275.0,19.187145233154297,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0028674602508545,0.010796498507261276,0.12582650780677795,0.11920291930437088,0.9895337224006653,0.9828221797943115,0.2857142857142857,0.2982456088066101,0.2655388414859772,0.22994986176490784,0.2062656730413437
6,0.23196226594016967,12.319441795349121,18.679798126220703,9.333611488342285,0.326529860496521,0.6285072565078735,87.9442367553711,18609.0,12.055766105651855,2551.0,0.0,0.0,0.0,0.0,0.0,0.0,6.686867713928223,9.864836692810059,5.146796703338623,0.8121336698532104,0.906093955039978,98.01512145996094,5185.0,1.984877109527588,105.0,0.0,0.0,0.0,0.0,0.0,0.0,11.599129676818848,17.136856079101562,8.816628456115723,0.4330841898918152,0.6909569501876831,89.58412170410156,4739.0,10.415879249572754,551.0,0.0,0.0,0.0,0.0,0.0,0.0,14.642724990844727,21.283723831176758,11.057267189025879,0.1257648468017578,0.4981699585914612,83.79962158203125,4433.0,16.20037841796875,857.0,0.0,0.0,0.0,0.0,0.0,0.0,16.34904670715332,23.48948097229004,12.313754081726074,-0.06459558010101318,0.3711731433868408,80.3780746459961,4252.0,19.62192726135254,1038.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0035170316696167,0.01075981929898262,0.14239241182804108,0.11920291930437088,0.9947817921638489,0.9708117246627808,0.35714285714285715,0.28947368264198303,0.2610902190208435,0.23327067494392395,0.2161654233932495
7,0.22567005707499954,12.219830513000488,18.54435920715332,9.25190258026123,0.33626049757003784,0.6356497406959534,88.1758041381836,18658.0,11.824196815490723,2502.0,0.0,0.0,0.0,0.0,0.0,0.0,6.310703277587891,9.288228034973145,4.877997398376465,0.8334537148475647,0.9161438345909119,98.46881103515625,5209.0,1.5311908721923828,81.0,0.0,0.0,0.0,0.0,0.0,0.0,11.476893424987793,16.880599975585938,8.73924446105957,0.4499121904373169,0.7009119391441345,90.03780364990234,4763.0,9.96219253540039,527.0,0.0,0.0,0.0,0.0,0.0,0.0,14.648154258728027,21.229286193847656,11.046131134033203,0.13023120164871216,0.501998782157898,83.83743286132812,4435.0,16.16257095336914,855.0,0.0,0.0,0.0,0.0,0.0,0.0,16.443572998046875,23.530080795288086,12.344236373901367,-0.06827902793884277,0.37256479263305664,80.35916900634766,4251.0,19.640830993652344,1039.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0012948513031006,0.010742268525063992,0.14859206974506378,0.11920291930437088,0.9963459372520447,0.9541011452674866,0.42857142857142855,0.28070175647735596,0.25664159655570984,0.23659147322177887,0.22606515884399414
8,0.2236077092818332,12.218240737915039,18.52962303161621,9.278759002685547,0.33731502294540405,0.6375176906585693,88.10491943359375,18643.0,11.895085334777832,2517.0,0.0,0.0,0.0,0.0,0.0,0.0,6.157459259033203,9.025467872619629,4.786073207855225,0.842743456363678,0.9201444983482361,98.58222961425781,5215.0,1.417769432067871,75.0,0.0,0.0,0.0,0.0,0.0,0.0,11.467215538024902,16.81270980834961,8.766372680664062,0.45432794094085693,0.7046193480491638,89.96218872070312,4759.0,10.03780746459961,531.0,0.0,0.0,0.0,0.0,0.0,0.0,14.694978713989258,21.245792388916016,11.112780570983887,0.12887823581695557,0.5029299855232239,83.68620300292969,4427.0,16.313800811767578,863.0,0.0,0.0,0.0,0.0,0.0,0.0,16.553308486938477,23.61943244934082,12.449808120727539,-0.07640767097473145,0.36917904019355774,80.18904113769531,4242.0,19.810964584350586,1048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996321439743042,0.010742360725998878,0.15785805881023407,0.11920291930437088,0.9976673722267151,0.948122501373291,0.5,0.2719298303127289,0.25219297409057617,0.2399122714996338,0.23596492409706116
9,0.21775369417866608,12.391589164733887,18.67338752746582,9.407169342041016,0.32699209451675415,0.6346421241760254,87.7315673828125,18564.0,12.268430709838867,2596.0,0.0,0.0,0.0,0.0,0.0,0.0,6.168647766113281,8.906726837158203,4.79680061340332,0.8468540906906128,0.9233832359313965,98.60113525390625,5216.0,1.398865818977356,74.0,0.0,0.0,0.0,0.0,0.0,0.0,11.600947380065918,16.852327346801758,8.869094848632812,0.45175331830978394,0.7049717903137207,89.92438507080078,4757.0,10.075614929199219,533.0,0.0,0.0,0.0,0.0,0.0,0.0,14.92928409576416,21.431371688842773,11.284512519836426,0.1135934591293335,0.496886670589447,83.1758041381836,4400.0,16.824195861816406,890.0,0.0,0.0,0.0,0.0,0.0,0.0,16.867477416992188,23.91959571838379,12.678268432617188,-0.10394024848937988,0.35838863253593445,79.2249526977539,4191.0,20.775047302246094,1099.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9910249710083008,0.010742402635514736,0.1512048989534378,0.11920291930437088,0.9987900853157043,0.9542171955108643,0.5714285714285714,0.2631579041481018,0.2477443516254425,0.2432330846786499,0.24586467444896698
10,0.2158375266530451,12.38562297821045,18.649396896362305,9.402547836303711,0.3287202715873718,0.6372960805892944,87.56143188476562,18528.0,12.438563346862793,2632.0,0.0,0.0,0.0,0.0,0.0,0.0,6.177229404449463,8.79101848602295,4.804381847381592,0.8508073091506958,0.9264495372772217,98.82797241210938,5228.0,1.1720227003097534,62.0,0.0,0.0,0.0,0.0,0.0,0.0,11.589887619018555,16.79384422302246,8.862410545349121,0.4555519223213196,0.709032416343689,89.94329071044922,4758.0,10.056711196899414,532.0,0.0,0.0,0.0,0.0,0.0,0.0,14.927814483642578,21.451772689819336,11.284350395202637,0.11190509796142578,0.4979937672615051,82.64649963378906,4372.0,17.353496551513672,918.0,0.0,0.0,0.0,0.0,0.0,0.0,16.847562789916992,23.91037940979004,12.659049034118652,-0.10308957099914551,0.3598000109195709,78.8279800415039,4170.0,21.17202377319336,1120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9865214824676514,0.01074840035289526,0.15008576214313507,0.11920291930437088,0.998289167881012,0.9592480659484863,0.6428571428571429,0.25438597798347473,0.24329572916030884,0.24655388295650482,0.2557644248008728
