step,fold1/train_loss,fold1/val_mae,fold1/val_rmse,fold1/val_mard,fold1/val_r2,fold1/val_pearson,fold1/val_ega_zone_a_pct,fold1/val_ega_zone_a_count,fold1/val_ega_zone_b_pct,fold1/val_ega_zone_b_count,fold1/val_ega_zone_c_pct,fold1/val_ega_zone_c_count,fold1/val_ega_zone_d_pct,fold1/val_ega_zone_d_count,fold1/val_ega_zone_e_pct,fold1/val_ega_zone_e_count,fold1/val_horizon_15_mae,fold1/val_horizon_15_rmse,fold1/val_horizon_15_mard,fold1/val_horizon_15_r2,fold1/val_horizon_15_pearson,fold1/val_horizon_15_ega_zone_a_pct,fold1/val_horizon_15_ega_zone_a_count,fold1/val_horizon_15_ega_zone_b_pct,fold1/val_horizon_15_ega_zone_b_count,fold1/val_horizon_15_ega_zone_c_pct,fold1/val_horizon_15_ega_zone_c_count,fold1/val_horizon_15_ega_zone_d_pct,fold1/val_horizon_15_ega_zone_d_count,fold1/val_horizon_15_ega_zone_e_pct,fold1/val_horizon_15_ega_zone_e_count,fold1/val_horizon_30_mae,fold1/val_horizon_30_rmse,fold1/val_horizon_30_mard,fold1/val_horizon_30_r2,fold1/val_horizon_30_pearson,fold1/val_horizon_30_ega_zone_a_pct,fold1/val_horizon_30_ega_zone_a_count,fold1/val_horizon_30_ega_zone_b_pct,fold1/val_horizon_30_ega_zone_b_count,fold1/val_horizon_30_ega_zone_c_pct,fold1/val_horizon_30_ega_zone_c_count,fold1/val_horizon_30_ega_zone_d_pct,fold1/val_horizon_30_ega_zone_d_count,fold1/val_horizon_30_ega_zone_e_pct,fold1/val_horizon_30_ega_zone_e_count,fold1/val_horizon_45_mae,fold1/val_horizon_45_rmse,fold1/val_horizon_45_mard,fold1/val_horizon_45_r2,fold1/val_horizon_45_pearson,fold1/val_horizon_45_ega_zone_a_pct,fold1/val_horizon_45_ega_zone_a_count,fold1/val_horizon_45_ega_zone_b_pct,fold1/val_horizon_45_ega_zone_b_count,fold1/val_horizon_45_ega_zone_c_pct,fold1/val_horizon_45_ega_zone_c_count,fold1/val_horizon_45_ega_zone_d_pct,fold1/val_horizon_45_ega_zone_d_count,fold1/val_horizon_45_ega_zone_e_pct,fold1/val_horizon_45_ega_zone_e_count,fold1/val_horizon_60_mae,fold1/val_horizon_60_rmse,fold1/val_horizon_60_mard,fold1/val_horizon_60_r2,fold1/val_horizon_60_pearson,fold1/val_horizon_60_ega_zone_a_pct,fold1/val_horizon_60_ega_zone_a_count,fold1/val_horizon_60_ega_zone_b_pct,fold1/val_horizon_60_ega_zone_b_count,fold1/val_horizon_60_ega_zone_c_pct,fold1/val_horizon_60_ega_zone_c_count,fold1/val_horizon_60_ega_zone_d_pct,fold1/val_horizon_60_ega_zone_d_count,fold1/val_horizon_60_ega_zone_e_pct,fold1/val_horizon_60_ega_zone_e_count,fold1/diag_graph_prior_weight,fold1/diag_graph_residual_mean,fold1/diag_fusion_gate_cgm,fold1/diag_fusion_gate_cgm_guided,fold1/diag_fusion_gate_physio,fold1/diag_horizon_query_similarity,fold1/diag_horizon_progressive_gate,fold1/diag_horizon_attention_similarity,fold1/diag_horizon_attention_entropy,fold1/diag_horizon_curriculum_progress,fold1/diag_loss_horizon_weight_0,fold1/diag_loss_horizon_weight_1,fold1/diag_loss_horizon_weight_2,fold1/diag_loss_horizon_weight_3
1,0.2494146150355939,12.490015029907227,19.3265323638916,9.519355773925781,0.27908873558044434,0.6152892708778381,87.15973663330078,18443.0,12.840265274047852,2717.0,0.0,0.0,0.0,0.0,0.0,0.0,7.138834476470947,10.812458038330078,5.4897685050964355,0.7743070125579834,0.8848251104354858,97.08885192871094,5136.0,2.9111530780792236,154.0,0.0,0.0,0.0,0.0,0.0,0.0,11.801728248596191,17.915672302246094,9.009563446044922,0.3803841471672058,0.6705294251441956,88.2419662475586,4668.0,11.758033752441406,622.0,0.0,0.0,0.0,0.0,0.0,0.0,14.652690887451172,21.869813919067383,11.152555465698242,0.07695436477661133,0.4982425272464752,82.98676300048828,4390.0,17.013233184814453,900.0,0.0,0.0,0.0,0.0,0.0,0.0,16.36680793762207,24.039344787597656,12.425537109375,-0.11502110958099365,0.38928326964378357,80.32135772705078,4249.0,19.678638458251953,1041.0,0.0,0.0,0.0,0.0,0.0,0.0,1.002514362335205,0.011649370193481445,0.28228914737701416,0.3435352146625519,0.37417569756507874,-0.07520391792058945,0.11920291930437088,0.9997838139533997,0.9999725222587585,0.0,0.3333333432674408,0.28333333134651184,0.21666665375232697,0.1666666716337204
2,0.24679257663522863,12.53220272064209,19.235843658447266,9.519639015197754,0.28583842515945435,0.6139605045318604,87.78827667236328,18576.0,12.211719512939453,2584.0,0.0,0.0,0.0,0.0,0.0,0.0,7.167961597442627,10.775664329528809,5.510346412658691,0.7758404016494751,0.8851037621498108,97.14555358886719,5139.0,2.8544423580169678,151.0,0.0,0.0,0.0,0.0,0.0,0.0,11.878117561340332,17.85162353515625,9.0399169921875,0.3848065733909607,0.6694914102554321,88.88468933105469,4702.0,11.115311622619629,588.0,0.0,0.0,0.0,0.0,0.0,0.0,14.71912956237793,21.77136993408203,11.150228500366211,0.08524560928344727,0.49470239877700806,83.68620300292969,4427.0,16.313800811767578,863.0,0.0,0.0,0.0,0.0,0.0,0.0,16.363603591918945,23.90152359008789,12.378064155578613,-0.102272629737854,0.38176074624061584,81.43667602539062,4308.0,18.56332778930664,982.0,0.0,0.0,0.0,0.0,0.0,0.0,1.002547025680542,0.01079950388520956,0.272657185792923,0.3380766808986664,0.3892661929130554,-0.07280158996582031,0.11920291930437088,0.999546229839325,0.9999359846115112,0.07142857142857142,0.3245614171028137,0.2788847088813782,0.21998745203018188,0.17656642198562622
3,0.2476860587615145,12.478691101074219,19.098350524902344,9.4772310256958,0.2960112690925598,0.6168043613433838,87.9442367553711,18609.0,12.055766105651855,2551.0,0.0,0.0,0.0,0.0,0.0,0.0,7.161336421966553,10.747518539428711,5.507350921630859,0.7770098447799683,0.8854297399520874,97.29678344726562,5147.0,2.703213691711426,143.0,0.0,0.0,0.0,0.0,0.0,0.0,11.831136703491211,17.750242233276367,9.00437068939209,0.3917742371559143,0.6710519790649414,89.03591918945312,4710.0,10.964082717895508,580.0,0.0,0.0,0.0,0.0,0.0,0.0,14.638175010681152,21.600393295288086,11.084956169128418,0.09955668449401855,0.49887266755104065,83.93194580078125,4440.0,16.06805419921875,850.0,0.0,0.0,0.0,0.0,0.0,0.0,16.284109115600586,23.702970504760742,12.312244415283203,-0.08403527736663818,0.3845970034599304,81.51229095458984,4312.0,18.487712860107422,978.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0027579069137573,0.009772256948053837,0.408790647983551,0.43469080328941345,0.15651863813400269,-0.0634472668170929,0.11920291930437088,0.9985641837120056,0.9997460842132568,0.14285714285714285,0.31578949093818665,0.2744360864162445,0.223308265209198,0.18646617233753204
4,0.2475059695260775,12.46052074432373,19.008821487426758,9.4581880569458,0.30259615182876587,0.6190587878227234,88.01039123535156,18623.0,11.989603042602539,2537.0,0.0,0.0,0.0,0.0,0.0,0.0,7.123377799987793,10.676680564880371,5.479564666748047,0.7799396514892578,0.8869751691818237,97.3345947265625,5149.0,2.6654064655303955,141.0,0.0,0.0,0.0,0.0,0.0,0.0,11.823821067810059,17.657268524169922,8.99265193939209,0.39812910556793213,0.6736481189727783,89.28166961669922,4723.0,10.718337059020996,567.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6202974319458,21.48063087463379,11.064830780029297,0.10951399803161621,0.5009187459945679,83.95085144042969,4441.0,16.049150466918945,849.0,0.0,0.0,0.0,0.0,0.0,0.0,16.274595260620117,23.62525749206543,12.295702934265137,-0.07693862915039062,0.3854895532131195,81.47447967529297,4310.0,18.52552032470703,980.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0024430751800537,0.008732635527849197,0.3524796664714813,0.44114822149276733,0.20637215673923492,-0.05427446588873863,0.11920291930437088,0.9983285069465637,0.99971604347229,0.21428571428571427,0.30701756477355957,0.26998746395111084,0.22662906348705292,0.19636592268943787
5,0.24874616972971617,12.366582870483398,18.902528762817383,9.390351295471191,0.3103737235069275,0.6208812594413757,88.0434799194336,18630.0,11.956521987915039,2530.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1165266036987305,10.653498649597168,5.471773147583008,0.7808942794799805,0.8875718116760254,97.37239837646484,5151.0,2.6275992393493652,139.0,0.0,0.0,0.0,0.0,0.0,0.0,11.728572845458984,17.544620513916016,8.925771713256836,0.40578413009643555,0.6760547161102295,89.39508819580078,4729.0,10.604914665222168,561.0,0.0,0.0,0.0,0.0,0.0,0.0,14.496559143066406,21.38225555419922,10.972590446472168,0.11765170097351074,0.5023332834243774,83.98866271972656,4443.0,16.011343002319336,847.0,0.0,0.0,0.0,0.0,0.0,0.0,16.124670028686523,23.467227935791016,12.191269874572754,-0.06257951259613037,0.3857816755771637,81.41777038574219,4307.0,18.582231521606445,983.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0022356510162354,0.00782721396535635,0.5075314044952393,0.2729074954986572,0.2195611298084259,-0.04573869705200195,0.11920291930437088,0.9973765015602112,0.9994567632675171,0.2857142857142857,0.2982456088066101,0.2655388414859772,0.22994986176490784,0.2062656730413437
6,0.24798880663467315,12.321440696716309,18.841907501220703,9.341425895690918,0.31478995084762573,0.622394323348999,88.11909484863281,18646.0,11.88090705871582,2514.0,0.0,0.0,0.0,0.0,0.0,0.0,7.063209056854248,10.533842086791992,5.429017066955566,0.7857884168624878,0.8905971646308899,97.63705444335938,5165.0,2.3629491329193115,125.0,0.0,0.0,0.0,0.0,0.0,0.0,11.673487663269043,17.452987670898438,8.876571655273438,0.4119749069213867,0.6788117289543152,89.31947326660156,4725.0,10.680529594421387,565.0,0.0,0.0,0.0,0.0,0.0,0.0,14.447161674499512,21.31292152404785,10.917383193969727,0.12336462736129761,0.5028060674667358,84.17769622802734,4453.0,15.822306632995605,837.0,0.0,0.0,0.0,0.0,0.0,0.0,16.10190773010254,23.45763397216797,12.142725944519043,-0.06171083450317383,0.3832191526889801,81.34215545654297,4303.0,18.65784454345703,987.0,0.0,0.0,0.0,0.0,0.0,0.0,1.001389980316162,0.0070549794472754,0.5988795757293701,0.2286539524793625,0.17246654629707336,-0.046232085675001144,0.11920291930437088,0.9930317997932434,0.9986152648925781,0.35714285714285715,0.28947368264198303,0.2610902190208435,0.23327067494392395,0.2161654233932495
7,0.24570675914046358,12.113386154174805,18.55489730834961,9.180684089660645,0.33550596237182617,0.6338669061660767,88.41682434082031,18709.0,11.583175659179688,2451.0,0.0,0.0,0.0,0.0,0.0,0.0,6.780762672424316,10.034255981445312,5.211827754974365,0.805625319480896,0.9016903638839722,97.9773178100586,5183.0,2.022684335708618,107.0,0.0,0.0,0.0,0.0,0.0,0.0,11.462508201599121,17.086650848388672,8.715028762817383,0.4364010691642761,0.6933414340019226,89.86767578125,4754.0,10.132325172424316,536.0,0.0,0.0,0.0,0.0,0.0,0.0,14.25687313079834,21.060985565185547,10.76964282989502,0.14396721124649048,0.5128185153007507,84.38563537597656,4464.0,15.61436653137207,826.0,0.0,0.0,0.0,0.0,0.0,0.0,15.953396797180176,23.2579402923584,12.026236534118652,-0.043711185455322266,0.3906727135181427,81.43667602539062,4308.0,18.56332778930664,982.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0021100044250488,0.006388476118445396,0.6308428645133972,0.20449800789356232,0.16465915739536285,-0.041469886898994446,0.11920291930437088,0.9967173933982849,0.9983132481575012,0.42857142857142855,0.28070175647735596,0.25664159655570984,0.23659147322177887,0.22606515884399414
8,0.24471396360802458,11.980722427368164,18.429828643798828,9.084315299987793,0.3444337248802185,0.6411452293395996,88.5066146850586,18728.0,11.49338436126709,2432.0,0.0,0.0,0.0,0.0,0.0,0.0,6.459953308105469,9.466446876525879,4.9825921058654785,0.8270010948181152,0.9133465886116028,98.2608642578125,5198.0,1.7391303777694702,92.0,0.0,0.0,0.0,0.0,0.0,0.0,11.287941932678223,16.84610939025879,8.591002464294434,0.4521578550338745,0.7040205001831055,90.30245208740234,4777.0,9.697542190551758,513.0,0.0,0.0,0.0,0.0,0.0,0.0,14.212702751159668,21.029312133789062,10.734109878540039,0.146540105342865,0.5172979235649109,84.2911148071289,4459.0,15.708884239196777,831.0,0.0,0.0,0.0,0.0,0.0,0.0,15.96229362487793,23.302303314208984,12.029557228088379,-0.047696590423583984,0.392200231552124,81.17202758789062,4294.0,18.827978134155273,996.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0012969970703125,0.0058402931317687035,0.6606894731521606,0.19510993361473083,0.1442006230354309,-0.045936886221170425,0.11920291930437088,0.9979106783866882,0.9983816742897034,0.5,0.2719298303127289,0.25219297409057617,0.2399122714996338,0.23596492409706116
9,0.2431806056012528,11.717473983764648,18.15597152709961,8.891836166381836,0.3637717366218567,0.6526634693145752,88.78544616699219,18787.0,11.214555740356445,2373.0,0.0,0.0,0.0,0.0,0.0,0.0,6.078683376312256,8.968253135681152,4.705940246582031,0.8447309136390686,0.9223654270172119,98.6389389038086,5218.0,1.3610585927963257,72.0,0.0,0.0,0.0,0.0,0.0,0.0,10.965653419494629,16.453723907470703,8.360258102416992,0.4773815870285034,0.7186835408210754,90.73724365234375,4800.0,9.262760162353516,490.0,0.0,0.0,0.0,0.0,0.0,0.0,14.024202346801758,20.80460548400879,10.594318389892578,0.1646817922592163,0.5279664397239685,84.51795959472656,4471.0,15.482041358947754,819.0,0.0,0.0,0.0,0.0,0.0,0.0,15.801358222961426,23.12079429626465,11.90682601928711,-0.031438350677490234,0.3996050953865051,81.24764251708984,4298.0,18.752363204956055,992.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0022306442260742,0.005378067493438721,0.6658336520195007,0.17783762514591217,0.1563287228345871,-0.0390961691737175,0.11920291930437088,0.9989526867866516,0.9977582097053528,0.5714285714285714,0.2631579041481018,0.2477443516254425,0.2432330846786499,0.24586467444896698
10,0.2416195514072566,11.625723838806152,18.0400447845459,8.83528995513916,0.3718705177307129,0.656752347946167,88.7712631225586,18784.0,11.22873306274414,2376.0,0.0,0.0,0.0,0.0,0.0,0.0,5.928637504577637,8.73061752319336,4.605581760406494,0.8528503775596619,0.9260934591293335,98.65784454345703,5219.0,1.3421549797058105,71.0,0.0,0.0,0.0,0.0,0.0,0.0,10.851415634155273,16.290653228759766,8.288054466247559,0.4876894950866699,0.7239198088645935,90.75614166259766,4801.0,9.243856430053711,489.0,0.0,0.0,0.0,0.0,0.0,0.0,13.945572853088379,20.70068359375,10.549150466918945,0.17300599813461304,0.5319773554801941,84.49905395507812,4470.0,15.500945091247559,820.0,0.0,0.0,0.0,0.0,0.0,0.0,15.777270317077637,23.057437896728516,11.898372650146484,-0.02579355239868164,0.4025746285915375,81.17202758789062,4294.0,18.827978134155273,996.0,0.0,0.0,0.0,0.0,0.0,0.0,1.003854513168335,0.005029511637985706,0.6780208945274353,0.17585113644599915,0.14612804353237152,-0.026141559705138206,0.11920291930437088,0.9992216229438782,0.9978721141815186,0.6428571428571429,0.25438597798347473,0.24329572916030884,0.24655388295650482,0.2557644248008728
