step,fold1/train_loss,fold1/val_mae,fold1/val_rmse,fold1/val_mard,fold1/val_r2,fold1/val_pearson,fold1/val_ega_zone_a_pct,fold1/val_ega_zone_a_count,fold1/val_ega_zone_b_pct,fold1/val_ega_zone_b_count,fold1/val_ega_zone_c_pct,fold1/val_ega_zone_c_count,fold1/val_ega_zone_d_pct,fold1/val_ega_zone_d_count,fold1/val_ega_zone_e_pct,fold1/val_ega_zone_e_count,fold1/val_horizon_15_mae,fold1/val_horizon_15_rmse,fold1/val_horizon_15_mard,fold1/val_horizon_15_r2,fold1/val_horizon_15_pearson,fold1/val_horizon_15_ega_zone_a_pct,fold1/val_horizon_15_ega_zone_a_count,fold1/val_horizon_15_ega_zone_b_pct,fold1/val_horizon_15_ega_zone_b_count,fold1/val_horizon_15_ega_zone_c_pct,fold1/val_horizon_15_ega_zone_c_count,fold1/val_horizon_15_ega_zone_d_pct,fold1/val_horizon_15_ega_zone_d_count,fold1/val_horizon_15_ega_zone_e_pct,fold1/val_horizon_15_ega_zone_e_count,fold1/val_horizon_30_mae,fold1/val_horizon_30_rmse,fold1/val_horizon_30_mard,fold1/val_horizon_30_r2,fold1/val_horizon_30_pearson,fold1/val_horizon_30_ega_zone_a_pct,fold1/val_horizon_30_ega_zone_a_count,fold1/val_horizon_30_ega_zone_b_pct,fold1/val_horizon_30_ega_zone_b_count,fold1/val_horizon_30_ega_zone_c_pct,fold1/val_horizon_30_ega_zone_c_count,fold1/val_horizon_30_ega_zone_d_pct,fold1/val_horizon_30_ega_zone_d_count,fold1/val_horizon_30_ega_zone_e_pct,fold1/val_horizon_30_ega_zone_e_count,fold1/val_horizon_45_mae,fold1/val_horizon_45_rmse,fold1/val_horizon_45_mard,fold1/val_horizon_45_r2,fold1/val_horizon_45_pearson,fold1/val_horizon_45_ega_zone_a_pct,fold1/val_horizon_45_ega_zone_a_count,fold1/val_horizon_45_ega_zone_b_pct,fold1/val_horizon_45_ega_zone_b_count,fold1/val_horizon_45_ega_zone_c_pct,fold1/val_horizon_45_ega_zone_c_count,fold1/val_horizon_45_ega_zone_d_pct,fold1/val_horizon_45_ega_zone_d_count,fold1/val_horizon_45_ega_zone_e_pct,fold1/val_horizon_45_ega_zone_e_count,fold1/val_horizon_60_mae,fold1/val_horizon_60_rmse,fold1/val_horizon_60_mard,fold1/val_horizon_60_r2,fold1/val_horizon_60_pearson,fold1/val_horizon_60_ega_zone_a_pct,fold1/val_horizon_60_ega_zone_a_count,fold1/val_horizon_60_ega_zone_b_pct,fold1/val_horizon_60_ega_zone_b_count,fold1/val_horizon_60_ega_zone_c_pct,fold1/val_horizon_60_ega_zone_c_count,fold1/val_horizon_60_ega_zone_d_pct,fold1/val_horizon_60_ega_zone_d_count,fold1/val_horizon_60_ega_zone_e_pct,fold1/val_horizon_60_ega_zone_e_count,fold1/diag_graph_prior_weight,fold1/diag_graph_residual_mean,fold1/diag_fusion_gate_cgm,fold1/diag_fusion_gate_cgm_guided,fold1/diag_fusion_gate_physio,fold1/diag_horizon_query_similarity,fold1/diag_horizon_progressive_gate,fold1/diag_horizon_attention_similarity,fold1/diag_horizon_attention_entropy,fold1/diag_horizon_curriculum_progress,fold1/diag_loss_horizon_weight_0,fold1/diag_loss_horizon_weight_1,fold1/diag_loss_horizon_weight_2,fold1/diag_loss_horizon_weight_3
1,0.25153035073234764,12.478154182434082,19.285093307495117,9.489015579223633,0.28217679262161255,0.6157847046852112,87.41966247558594,18498.0,12.580339431762695,2662.0,0.0,0.0,0.0,0.0,0.0,0.0,7.109846115112305,10.832539558410645,5.469951629638672,0.7734678983688354,0.8844801187515259,97.10774993896484,5137.0,2.892249345779419,153.0,0.0,0.0,0.0,0.0,0.0,0.0,11.813525199890137,17.915163040161133,9.007122993469238,0.38041937351226807,0.6699880957603455,88.54442596435547,4684.0,11.45557689666748,606.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7235689163208,21.870691299438477,11.14863109588623,0.07688021659851074,0.4962281882762909,83.32703399658203,4408.0,16.6729679107666,882.0,0.0,0.0,0.0,0.0,0.0,0.0,16.265684127807617,23.89634895324707,12.33035945892334,-0.10179531574249268,0.38704973459243774,80.69943237304688,4269.0,19.300565719604492,1021.0,0.0,0.0,0.0,0.0,0.0,0.0,1.001699447631836,0.011727475561201572,0.1687319576740265,0.7544201016426086,0.07684791833162308,0.0692988708615303,0.11879583448171616,0.9998886585235596,0.9999843835830688,0.0,0.3333333432674408,0.28333333134651184,0.21666665375232697,0.1666666716337204
2,0.25011985760711875,12.50857925415039,19.186830520629883,9.496113777160645,0.2894732356071472,0.617516815662384,87.8119125366211,18581.0,12.188090324401855,2579.0,0.0,0.0,0.0,0.0,0.0,0.0,7.183990955352783,10.829505920410156,5.5198845863342285,0.7735947370529175,0.8846787214279175,97.03213500976562,5133.0,2.9678637981414795,157.0,0.0,0.0,0.0,0.0,0.0,0.0,11.896554946899414,17.852928161621094,9.046223640441895,0.38471662998199463,0.6708507537841797,89.14933776855469,4716.0,10.850662231445312,574.0,0.0,0.0,0.0,0.0,0.0,0.0,14.701518058776855,21.72744369506836,11.121768951416016,0.08893299102783203,0.49963170289993286,83.74291229248047,4430.0,16.257089614868164,860.0,0.0,0.0,0.0,0.0,0.0,0.0,16.252254486083984,23.758167266845703,12.296579360961914,-0.08908987045288086,0.389444500207901,81.32325744628906,4302.0,18.676748275756836,988.0,0.0,0.0,0.0,0.0,0.0,0.0,1.005709171295166,0.011288312263786793,0.16046598553657532,0.7770016193389893,0.06253242492675781,0.1585569977760315,0.11754348129034042,0.9990904927253723,0.9998589158058167,0.07142857142857142,0.3228749930858612,0.27844905853271484,0.22054962813854218,0.17812640964984894
3,0.2522546048384701,12.47635555267334,19.13899040222168,9.481527328491211,0.2930120825767517,0.6168923377990723,87.89697265625,18599.0,12.10302448272705,2561.0,0.0,0.0,0.0,0.0,0.0,0.0,7.127778053283691,10.75539493560791,5.4850568771362305,0.7766829133033752,0.8853142857551575,97.01323699951172,5132.0,2.986767530441284,158.0,0.0,0.0,0.0,0.0,0.0,0.0,11.846746444702148,17.78331756591797,9.018141746520996,0.38950538635253906,0.6712023615837097,89.35728454589844,4727.0,10.642722129821777,563.0,0.0,0.0,0.0,0.0,0.0,0.0,14.649357795715332,21.670333862304688,11.097158432006836,0.09371614456176758,0.4980829358100891,83.79962158203125,4433.0,16.20037841796875,857.0,0.0,0.0,0.0,0.0,0.0,0.0,16.281539916992188,23.741851806640625,12.3257474899292,-0.08759450912475586,0.3863825500011444,81.41777038574219,4307.0,18.582231521606445,983.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000550746917725,0.010981205850839615,0.1662990003824234,0.7713552117347717,0.06234584003686905,0.24384582042694092,0.11617275327444077,0.9961277842521667,0.9991915225982666,0.14285714285714285,0.31241655349731445,0.27356475591659546,0.224432572722435,0.1895861178636551
4,0.2509650731604462,12.42374324798584,19.099998474121094,9.442849159240723,0.2958897352218628,0.6167116761207581,87.86862182617188,18593.0,12.131380081176758,2567.0,0.0,0.0,0.0,0.0,0.0,0.0,6.996880054473877,10.615882873535156,5.392514228820801,0.7824387550354004,0.8876965641975403,97.18336486816406,5141.0,2.8166351318359375,149.0,0.0,0.0,0.0,0.0,0.0,0.0,11.789281845092773,17.720542907714844,8.97929859161377,0.39380794763565063,0.6716695427894592,89.2249526977539,4720.0,10.775047302246094,570.0,0.0,0.0,0.0,0.0,0.0,0.0,14.614121437072754,21.622812271118164,11.072587013244629,0.097686767578125,0.49673593044281006,83.87523651123047,4437.0,16.12476348876953,853.0,0.0,0.0,0.0,0.0,0.0,0.0,16.294689178466797,23.769296646118164,12.326996803283691,-0.0901104211807251,0.38186246156692505,81.19092559814453,4295.0,18.80907440185547,995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9957293272018433,0.010778365656733513,0.17823007702827454,0.7641565799713135,0.05761340260505676,0.36293473839759827,0.11496838182210922,0.9907322525978088,0.9895467758178711,0.21428571428571427,0.3019581735134125,0.2686804533004761,0.22831551730632782,0.20104584097862244
step,fold1/train_loss,fold1/val_mae,fold1/val_rmse,fold1/val_mard,fold1/val_r2,fold1/val_pearson,fold1/val_ega_zone_a_pct,fold1/val_ega_zone_a_count,fold1/val_ega_zone_b_pct,fold1/val_ega_zone_b_count,fold1/val_ega_zone_c_pct,fold1/val_ega_zone_c_count,fold1/val_ega_zone_d_pct,fold1/val_ega_zone_d_count,fold1/val_ega_zone_e_pct,fold1/val_ega_zone_e_count,fold1/val_horizon_15_mae,fold1/val_horizon_15_rmse,fold1/val_horizon_15_mard,fold1/val_horizon_15_r2,fold1/val_horizon_15_pearson,fold1/val_horizon_15_ega_zone_a_pct,fold1/val_horizon_15_ega_zone_a_count,fold1/val_horizon_15_ega_zone_b_pct,fold1/val_horizon_15_ega_zone_b_count,fold1/val_horizon_15_ega_zone_c_pct,fold1/val_horizon_15_ega_zone_c_count,fold1/val_horizon_15_ega_zone_d_pct,fold1/val_horizon_15_ega_zone_d_count,fold1/val_horizon_15_ega_zone_e_pct,fold1/val_horizon_15_ega_zone_e_count,fold1/val_horizon_30_mae,fold1/val_horizon_30_rmse,fold1/val_horizon_30_mard,fold1/val_horizon_30_r2,fold1/val_horizon_30_pearson,fold1/val_horizon_30_ega_zone_a_pct,fold1/val_horizon_30_ega_zone_a_count,fold1/val_horizon_30_ega_zone_b_pct,fold1/val_horizon_30_ega_zone_b_count,fold1/val_horizon_30_ega_zone_c_pct,fold1/val_horizon_30_ega_zone_c_count,fold1/val_horizon_30_ega_zone_d_pct,fold1/val_horizon_30_ega_zone_d_count,fold1/val_horizon_30_ega_zone_e_pct,fold1/val_horizon_30_ega_zone_e_count,fold1/val_horizon_45_mae,fold1/val_horizon_45_rmse,fold1/val_horizon_45_mard,fold1/val_horizon_45_r2,fold1/val_horizon_45_pearson,fold1/val_horizon_45_ega_zone_a_pct,fold1/val_horizon_45_ega_zone_a_count,fold1/val_horizon_45_ega_zone_b_pct,fold1/val_horizon_45_ega_zone_b_count,fold1/val_horizon_45_ega_zone_c_pct,fold1/val_horizon_45_ega_zone_c_count,fold1/val_horizon_45_ega_zone_d_pct,fold1/val_horizon_45_ega_zone_d_count,fold1/val_horizon_45_ega_zone_e_pct,fold1/val_horizon_45_ega_zone_e_count,fold1/val_horizon_60_mae,fold1/val_horizon_60_rmse,fold1/val_horizon_60_mard,fold1/val_horizon_60_r2,fold1/val_horizon_60_pearson,fold1/val_horizon_60_ega_zone_a_pct,fold1/val_horizon_60_ega_zone_a_count,fold1/val_horizon_60_ega_zone_b_pct,fold1/val_horizon_60_ega_zone_b_count,fold1/val_horizon_60_ega_zone_c_pct,fold1/val_horizon_60_ega_zone_c_count,fold1/val_horizon_60_ega_zone_d_pct,fold1/val_horizon_60_ega_zone_d_count,fold1/val_horizon_60_ega_zone_e_pct,fold1/val_horizon_60_ega_zone_e_count,fold1/diag_graph_prior_weight,fold1/diag_graph_residual_mean,fold1/diag_fusion_gate_cgm,fold1/diag_fusion_gate_cgm_guided,fold1/diag_fusion_gate_physio,fold1/diag_horizon_query_similarity,fold1/diag_horizon_progressive_gate,fold1/diag_horizon_attention_similarity,fold1/diag_horizon_attention_entropy,fold1/diag_horizon_curriculum_progress,fold1/diag_loss_horizon_weight_0,fold1/diag_loss_horizon_weight_1,fold1/diag_loss_horizon_weight_2,fold1/diag_loss_horizon_weight_3
1,0.25153035073234764,12.478154182434082,19.285093307495117,9.489015579223633,0.28217679262161255,0.6157847046852112,87.41966247558594,18498.0,12.580339431762695,2662.0,0.0,0.0,0.0,0.0,0.0,0.0,7.109846115112305,10.832539558410645,5.469951629638672,0.7734678983688354,0.8844801187515259,97.10774993896484,5137.0,2.892249345779419,153.0,0.0,0.0,0.0,0.0,0.0,0.0,11.813525199890137,17.915163040161133,9.007122993469238,0.38041937351226807,0.6699880957603455,88.54442596435547,4684.0,11.45557689666748,606.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7235689163208,21.870691299438477,11.14863109588623,0.07688021659851074,0.4962281882762909,83.32703399658203,4408.0,16.6729679107666,882.0,0.0,0.0,0.0,0.0,0.0,0.0,16.265684127807617,23.89634895324707,12.33035945892334,-0.10179531574249268,0.38704973459243774,80.69943237304688,4269.0,19.300565719604492,1021.0,0.0,0.0,0.0,0.0,0.0,0.0,1.001699447631836,0.011727475561201572,0.1687319576740265,0.7544201016426086,0.07684791833162308,0.0692988708615303,0.11879583448171616,0.9998886585235596,0.9999843835830688,0.0,0.3333333432674408,0.28333333134651184,0.21666665375232697,0.1666666716337204
2,0.25011985760711875,12.50857925415039,19.186830520629883,9.496113777160645,0.2894732356071472,0.617516815662384,87.8119125366211,18581.0,12.188090324401855,2579.0,0.0,0.0,0.0,0.0,0.0,0.0,7.183990955352783,10.829505920410156,5.5198845863342285,0.7735947370529175,0.8846787214279175,97.03213500976562,5133.0,2.9678637981414795,157.0,0.0,0.0,0.0,0.0,0.0,0.0,11.896554946899414,17.852928161621094,9.046223640441895,0.38471662998199463,0.6708507537841797,89.14933776855469,4716.0,10.850662231445312,574.0,0.0,0.0,0.0,0.0,0.0,0.0,14.701518058776855,21.72744369506836,11.121768951416016,0.08893299102783203,0.49963170289993286,83.74291229248047,4430.0,16.257089614868164,860.0,0.0,0.0,0.0,0.0,0.0,0.0,16.252254486083984,23.758167266845703,12.296579360961914,-0.08908987045288086,0.389444500207901,81.32325744628906,4302.0,18.676748275756836,988.0,0.0,0.0,0.0,0.0,0.0,0.0,1.005709171295166,0.011288312263786793,0.16046598553657532,0.7770016193389893,0.06253242492675781,0.1585569977760315,0.11754348129034042,0.9990904927253723,0.9998589158058167,0.07142857142857142,0.3228749930858612,0.27844905853271484,0.22054962813854218,0.17812640964984894
3,0.2522546048384701,12.47635555267334,19.13899040222168,9.481527328491211,0.2930120825767517,0.6168923377990723,87.89697265625,18599.0,12.10302448272705,2561.0,0.0,0.0,0.0,0.0,0.0,0.0,7.127778053283691,10.75539493560791,5.4850568771362305,0.7766829133033752,0.8853142857551575,97.01323699951172,5132.0,2.986767530441284,158.0,0.0,0.0,0.0,0.0,0.0,0.0,11.846746444702148,17.78331756591797,9.018141746520996,0.38950538635253906,0.6712023615837097,89.35728454589844,4727.0,10.642722129821777,563.0,0.0,0.0,0.0,0.0,0.0,0.0,14.649357795715332,21.670333862304688,11.097158432006836,0.09371614456176758,0.4980829358100891,83.79962158203125,4433.0,16.20037841796875,857.0,0.0,0.0,0.0,0.0,0.0,0.0,16.281539916992188,23.741851806640625,12.3257474899292,-0.08759450912475586,0.3863825500011444,81.41777038574219,4307.0,18.582231521606445,983.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000550746917725,0.010981205850839615,0.1662990003824234,0.7713552117347717,0.06234584003686905,0.24384582042694092,0.11617275327444077,0.9961277842521667,0.9991915225982666,0.14285714285714285,0.31241655349731445,0.27356475591659546,0.224432572722435,0.1895861178636551
4,0.2509650731604462,12.42374324798584,19.099998474121094,9.442849159240723,0.2958897352218628,0.6167116761207581,87.86862182617188,18593.0,12.131380081176758,2567.0,0.0,0.0,0.0,0.0,0.0,0.0,6.996880054473877,10.615882873535156,5.392514228820801,0.7824387550354004,0.8876965641975403,97.18336486816406,5141.0,2.8166351318359375,149.0,0.0,0.0,0.0,0.0,0.0,0.0,11.789281845092773,17.720542907714844,8.97929859161377,0.39380794763565063,0.6716695427894592,89.2249526977539,4720.0,10.775047302246094,570.0,0.0,0.0,0.0,0.0,0.0,0.0,14.614121437072754,21.622812271118164,11.072587013244629,0.097686767578125,0.49673593044281006,83.87523651123047,4437.0,16.12476348876953,853.0,0.0,0.0,0.0,0.0,0.0,0.0,16.294689178466797,23.769296646118164,12.326996803283691,-0.0901104211807251,0.38186246156692505,81.19092559814453,4295.0,18.80907440185547,995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9957293272018433,0.010778365656733513,0.17823007702827454,0.7641565799713135,0.05761340260505676,0.36293473839759827,0.11496838182210922,0.9907322525978088,0.9895467758178711,0.21428571428571427,0.3019581735134125,0.2686804533004761,0.22831551730632782,0.20104584097862244
5,0.2509337284045929,12.446396827697754,19.034666061401367,9.433553695678711,0.300698459148407,0.6182020306587219,87.88279724121094,18596.0,12.117202758789062,2564.0,0.0,0.0,0.0,0.0,0.0,0.0,6.986329555511475,10.510858535766602,5.374203205108643,0.7867221832275391,0.8915736675262451,97.39130401611328,5152.0,2.6086955070495605,138.0,0.0,0.0,0.0,0.0,0.0,0.0,11.826927185058594,17.631235122680664,8.987272262573242,0.3999026417732239,0.6751580834388733,89.43289184570312,4731.0,10.567108154296875,559.0,0.0,0.0,0.0,0.0,0.0,0.0,14.65419864654541,21.563024520874023,11.069087028503418,0.1026695966720581,0.4946363568305969,83.79962158203125,4433.0,16.20037841796875,857.0,0.0,0.0,0.0,0.0,0.0,0.0,16.318134307861328,23.72701644897461,12.303656578063965,-0.08623576164245605,0.37541696429252625,80.9073715209961,4280.0,19.092626571655273,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931910037994385,0.010648367926478386,0.15759550034999847,0.777776300907135,0.06462817639112473,0.42776060104370117,0.11344069242477417,0.9899018406867981,0.9756610989570618,0.2857142857142857,0.2914997935295105,0.2637961804866791,0.23219847679138184,0.21250556409358978
